"Prvdr_id","PSI_4_SURG_COMP","PSI_4_SURG_COMP_F","PSI_6_IAT_PTX","PSI_6_IAT_PTX_F","PSI_11_POSTOP_RESPFAIL","PSI_11_POSTOP_RESPFAIL_F","PSI_12_POSTOP_PULMEMB_DVT","PSI_12_POSTOP_PULMEMB_DVT_F","PSI_14_POSTOP_DEHIS","PSI_14_POSTOP_DEHIS_F","PSI_15_ACC_LAC","PSI_15_ACC_LAC_F","PSI_90_SAFETY","PSI_90_SAFETY_F","IQI_11_AAA","IQI_11_AAA_F","IQI_19_HIP_FX","IQI_19_HIP_FX_F","IQI_91_CONDS","IQI_91_CONDS_F","PSI_4_SURG_COMP_NUM_DC","PSI_4_SURG_COMP_RATE","PSI_4_SURG_COMP_LOW_EST","PSI_4_SURG_COMP_HIGH_EST","PSI_6_IAT_PTX_NUM_DC","PSI_6_IAT_PTX_RATE","PSI_6_IAT_PTX_LOW_EST","PSI_6_IAT_PTX_HIGH_EST","PSI_11_POSTOP_RESPFAIL_NUM_DC","PSI_11_POSTOP_RESPFAIL__RATE","PSI_11_POSTOP_RESPFAIL_LOW_EST","PSI_11_POSTOP_RESPFAIL_HIGH_EST","PSI_12_POSTOP_PULMEMB_DVT_NUM_DC","PSI_12_POSTOP_PULMEMB_DVT_RATE","PSI_12_POSTOP_PULMEMB_DVT_LOW_EST","PSI_12_POSTOP_PULMEMB_DVT_HIGH_EST","PSI_14_POSTOP_DEHIS_NUM_DC","PSI_14_POSTOP_DEHIS_RATE","PSI_14_POSTOP_DEHIS_LOW_EST","PSI_14_POSTOP_DEHIS_HIGH_EST","PSI_15_ACC_LAC_NUM_DC","PSI_15_ACC_LAC_RATE","PSI_15_ACC_LAC_LOW_EST","PSI_15_ACC_LAC_HIGH_EST","PSI_90_SAFETY_NUM_DC","PSI_90_SAFETY_RATE","PSI_90_SAFETY_LOW_EST","PSI_90_SAFETY_HIGH_EST","IQI_11_AAA_NUM_DC","IQI_11_AAA_RATE","IQI_11_AAA_LOW_EST","IQI_11_AAA_HIGH_EST","IQI_19_HIP_FX_NUM_DC","IQI_19_HIP_FX_RATE","IQI_19_HIP_FX_LOW_EST","IQI_19_HIP_FX_HIGH_EST","IQI_91_CONDS_NUM_DC","IQI_91_CONDS_RATE","IQI_91_CONDS_LOW_EST","IQI_91_CONDS_HIGH_EST"
"010010","Number of Cases Too Small","j","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"12","Not Available","Not Available","Not Available","3621","0.23","0.00","0.68","193","5.84","0.00","13.76","442","3.32","0.00","10.77","35","2.10","0.00","4.30","3753","0.70","0.00","2.62","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","71","2.54","1.17","3.91","Not Available","Not Available","Not Available","Not Available"
"010011","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Number of Cases Too Small","j","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"91","139.13","94.11","184.15","7471","0.48","0.13","0.83","1228","11.99","7.46","16.52","2615","5.66","2.01","9.31","234","2.29","0.25","4.33","7676","1.22","0.10","2.34","Not Available","Not Available","Not Available","Not Available","21","Not Available","Not Available","Not Available","208","2.73","1.26","4.20","Not Available","Not Available","Not Available","Not Available"
"010012","Number of Cases Too Small","j","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"22","Not Available","Not Available","Not Available","3215","0.48","0.01","0.95","303","9.70","2.35","17.05","695","2.93","0.00","9.93","76","2.06","0.00","4.24","3329","2.62","0.90","4.34","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","78","3.02","1.33","4.71","Not Available","Not Available","Not Available","Not Available"
"010001","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"Better than U.S. National Rate",,"No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"120","115.78","77.87","153.69","13690","0.33","0.06","0.60","1987","13.92","10.74","17.10","4459","1.34","0.00","3.99","324","2.61","0.65","4.57","14305","3.17","2.31","4.03","Not Available","Not Available","Not Available","Not Available","75","4.17","1.64","6.70","288","2.96","1.59","4.33","Not Available","Not Available","Not Available","Not Available"
"010005","Number of Cases Too Small","j","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"21","Not Available","Not Available","Not Available","3979","0.33","0.00","0.78","71","10.35","1.16","19.54","559","5.22","0.00","12.06","84","2.01","0.00","4.17","4073","0.63","0.00","2.45","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","105","2.36","0.81","3.91","Not Available","Not Available","Not Available","Not Available"
"010006","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"101","137.45","94.37","180.53","8824","0.28","0.00","0.63","Not Available","Not Available","Not Available","Not Available","2522","2.67","0.00","6.41","212","2.29","0.25","4.33","9417","1.62","0.54","2.70","Not Available","Not Available","Not Available","Not Available","67","4.82","2.62","7.02","201","3.64","2.09","5.19","Not Available","Not Available","Not Available","Not Available"
"010007","Number of Cases Too Small","j","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"8","Not Available","Not Available","Not Available","2125","0.30","0.00","0.83","143","9.26","0.56","17.96","237","9.48","0.27","18.69","29","2.10","0.00","4.30","2164","1.56","0.00","3.93","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","36","3.39","1.59","5.19","Not Available","Not Available","Not Available","Not Available"
"010008","Not Available","5","No Different than U.S. National Rate",,"Number of Cases Too Small","j","No Different than U.S. National Rate",,"Not Available","5","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","Number of Cases Too Small","j","No Different than U.S. National Rate",,"Not Available","Not Available","Not Available","Not Available","636","0.37","0.00","0.94","6","Not Available","Not Available","Not Available","34","4.97","0.00","17.08","Not Available","Not Available","Not Available","Not Available","686","1.74","0.00","4.78","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","15","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010009","Number of Cases Too Small","j","No Different than U.S. National Rate",,"Not Available","5","No Different than U.S. National Rate",,"Number of Cases Too Small","j","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","Number of Cases Too Small","j","No Different than U.S. National Rate",,"3","Not Available","Not Available","Not Available","1330","0.33","0.00","0.88","Not Available","Not Available","Not Available","Not Available","76","4.36","0.00","15.71","9","Not Available","Not Available","Not Available","1369","1.32","0.00","3.97","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","8","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010015","Not Available","5","No Different than U.S. National Rate",,"Not Available","5","No Different than U.S. National Rate",,"Not Available","5","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","Number of Cases Too Small","j","No Different than U.S. National Rate",,"Not Available","Not Available","Not Available","Not Available","900","0.36","0.00","0.93","Not Available","Not Available","Not Available","Not Available","26","5.26","0.00","17.73","Not Available","Not Available","Not Available","Not Available","911","1.64","0.00","4.58","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","3","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010016","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Number of Cases Too Small","j","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"86","113.41","69.49","157.33","5479","0.24","0.00","0.61","737","13.76","8.66","18.86","1881","4.94","0.65","9.23","203","1.81","0.00","3.85","5822","1.96","0.74","3.18","Not Available","Not Available","Not Available","Not Available","21","Not Available","Not Available","Not Available","125","2.22","0.71","3.73","Not Available","Not Available","Not Available","Not Available"
"010018","Number of Cases Too Small","j","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","Not Available","5","Not Available","5","4","Not Available","Not Available","Not Available","94","0.39","0.00","0.98","51","8.91","0.00","18.69","80","4.48","0.00","15.99","Not Available","Not Available","Not Available","Not Available","94","2.85","0.00","6.06","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010019","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"78","115.20","67.98","162.42","5302","0.28","0.00","0.69","1092","8.66","4.25","13.07","1540","6.22","1.61","10.83","229","2.26","0.24","4.28","5394","1.32","0.00","2.69","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","140","3.09","1.44","4.74","Not Available","Not Available","Not Available","Not Available"
"010021","Number of Cases Too Small","j","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Number of Cases Too Small","j","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","Number of Cases Too Small","j","No Different than U.S. National Rate",,"14","Not Available","Not Available","Not Available","1505","0.29","0.00","0.80","30","12.36","2.29","22.43","173","7.74","0.00","17.23","17","Not Available","Not Available","Not Available","1563","1.75","0.00","4.26","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","24","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010022","Not Available","5","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Number of Cases Too Small","j","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","Not Available","5","Worse than U.S. National Rate",,"Not Available","Not Available","Not Available","Not Available","1057","0.35","0.00","0.92","53","8.20","0.00","17.57","66","4.83","0.00","16.79","15","Not Available","Not Available","Not Available","1082","1.38","0.00","4.08","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010023","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Better than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Better than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"144","148.35","109.42","187.28","9047","0.35","0.02","0.68","1298","10.45","6.33","14.57","3711","2.18","0.00","5.36","328","3.14","1.14","5.14","9476","1.57","0.59","2.55","Not Available","Not Available","Not Available","Not Available","77","5.56","3.17","7.95","263","3.13","1.72","4.54","Not Available","Not Available","Not Available","Not Available"
"010024","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Number of Cases Too Small","j","No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"94","131.91","86.95","176.87","8206","0.19","0.00","0.52","1131","16.43","12.12","20.74","2529","2.40","0.00","5.95","218","2.27","0.25","4.29","8433","1.96","0.80","3.12","Not Available","Not Available","Not Available","Not Available","9","Not Available","Not Available","Not Available","211","3.53","2.06","5.00","Not Available","Not Available","Not Available","Not Available"
"010025","Number of Cases Too Small","j","No Different than U.S. National Rate",,"Not Available","5","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"11","Not Available","Not Available","Not Available","2210","0.38","0.00","0.85","Not Available","Not Available","Not Available","Not Available","341","1.94","0.00","9.51","72","3.69","1.53","5.85","2476","2.19","0.17","4.21","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","40","3.25","1.49","5.01","Not Available","Not Available","Not Available","Not Available"
"010027","Not Available","5","No Different than U.S. National Rate",,"Not Available","5","Not Available","5","Not Available","5","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","Not Available","5","No Different than U.S. National Rate",,"Not Available","Not Available","Not Available","Not Available","689","0.37","0.00","0.94","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","710","1.74","0.00","4.78","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010029","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"Better than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"141","146.74","107.21","186.27","9609","0.51","0.20","0.82","1880","14.65","10.97","18.33","3705","2.44","0.00","5.62","316","2.27","0.25","4.29","9895","2.13","1.15","3.11","Not Available","Not Available","Not Available","Not Available","35","4.07","1.58","6.56","205","3.97","2.46","5.48","Not Available","Not Available","Not Available","Not Available"
"010032","Not Available","5","No Different than U.S. National Rate",,"Not Available","5","Not Available","5","Not Available","5","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","Not Available","5","No Different than U.S. National Rate",,"Not Available","Not Available","Not Available","Not Available","670","0.34","0.00","0.89","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","762","1.63","0.00","4.57","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010033","Worse than U.S. National Rate",,"Worse than U.S. National Rate",,"Worse than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"478","162.48","139.43","185.53","16138","0.78","0.53","1.03","3613","13.76","11.70","15.82","7779","7.51","5.71","9.31","1186","1.55","0.00","3.22","17952","2.13","1.54","2.72","Not Available","Not Available","Not Available","Not Available","103","3.85","1.40","6.30","59","3.95","2.24","5.66","Not Available","Not Available","Not Available","Not Available"
"010034","Number of Cases Too Small","j","No Different than U.S. National Rate",,"Not Available","5","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","Not Available","5","No Different than U.S. National Rate",,"8","Not Available","Not Available","Not Available","1322","0.32","0.00","0.85","Not Available","Not Available","Not Available","Not Available","100","3.49","0.00","13.64","31","2.68","0.48","4.88","1444","1.78","0.00","4.31","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010035","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Number of Cases Too Small","j","No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"60","148.48","101.52","195.44","5404","0.26","0.00","0.65","785","17.88","12.84","22.92","1259","1.45","0.00","6.37","174","1.88","0.00","3.96","5509","2.04","0.59","3.49","Not Available","Not Available","Not Available","Not Available","9","Not Available","Not Available","Not Available","156","3.02","1.49","4.55","Not Available","Not Available","Not Available","Not Available"
"010036","Number of Cases Too Small","j","No Different than U.S. National Rate",,"Number of Cases Too Small","j","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"12","Not Available","Not Available","Not Available","2871","0.27","0.00","0.76","3","Not Available","Not Available","Not Available","490","4.78","0.00","12.25","68","2.04","0.00","4.20","2853","1.80","0.00","3.80","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","40","3.27","1.53","5.01","Not Available","Not Available","Not Available","Not Available"
"010038","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"38","138.45","89.98","186.92","4084","0.79","0.38","1.20","344","14.45","7.77","21.13","960","1.95","0.00","7.67","120","2.49","0.37","4.61","4221","1.85","0.32","3.38","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","43","3.32","1.54","5.10","Not Available","Not Available","Not Available","Not Available"
"010039","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"393","136.04","111.15","160.93","23799","0.54","0.32","0.76","3881","7.96","5.27","10.65","9173","5.36","3.48","7.24","935","3.11","1.46","4.76","24649","1.63","1.00","2.26","Not Available","Not Available","Not Available","Not Available","141","4.64","2.21","7.07","506","2.65","1.45","3.85","Not Available","Not Available","Not Available","Not Available"
"010040","No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"Worse than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Number of Cases Too Small","j","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"147","105.09","67.12","143.06","7801","0.80","0.45","1.15","1063","16.76","11.98","21.54","2260","2.85","0.00","6.73","237","2.26","0.24","4.28","8085","1.55","0.39","2.71","Not Available","Not Available","Not Available","Not Available","5","Not Available","Not Available","Not Available","156","2.57","1.02","4.12","Not Available","Not Available","Not Available","Not Available"
"010043","Not Available","5","No Different than U.S. National Rate",,"Number of Cases Too Small","j","Number of Cases Too Small","j","Not Available","5","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","Not Available","5","No Different than U.S. National Rate",,"Not Available","Not Available","Not Available","Not Available","484","0.35","0.00","0.92","3","Not Available","Not Available","Not Available","7","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","498","1.75","0.00","4.79","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010044","Not Available","5","No Different than U.S. National Rate",,"Number of Cases Too Small","j","No Different than U.S. National Rate",,"Number of Cases Too Small","j","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","Not Available","5","No Different than U.S. National Rate",,"Not Available","Not Available","Not Available","Not Available","1035","0.35","0.00","0.90","3","Not Available","Not Available","Not Available","28","5.13","0.00","17.44","11","Not Available","Not Available","Not Available","1069","3.45","0.67","6.23","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010045","Number of Cases Too Small","j","No Different than U.S. National Rate",,"Not Available","5","No Different than U.S. National Rate",,"Number of Cases Too Small","j","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","Not Available","5","No Different than U.S. National Rate",,"7","Not Available","Not Available","Not Available","1368","0.50","0.00","1.05","Not Available","Not Available","Not Available","Not Available","42","11.85","0.11","23.59","18","Not Available","Not Available","Not Available","1429","1.32","0.00","3.97","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010046","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Better than U.S. National Rate",,"Number of Cases Too Small","j","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"123","113.48","73.22","153.74","7137","0.15","0.00","0.52","968","18.74","14.37","23.11","1840","2.07","0.00","6.36","200","2.33","0.29","4.37","7441","1.35","0.12","2.58","Not Available","Not Available","Not Available","Not Available","8","Not Available","Not Available","Not Available","132","2.95","1.46","4.44","Not Available","Not Available","Not Available","Not Available"
"010047","Not Available","5","No Different than U.S. National Rate",,"Not Available","5","Not Available","5","Not Available","5","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","Not Available","5","No Different than U.S. National Rate",,"Not Available","Not Available","Not Available","Not Available","1595","0.34","0.00","0.89","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","1657","1.46","0.00","4.22","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010049","Number of Cases Too Small","j","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"8","Not Available","Not Available","Not Available","2986","0.27","0.00","0.76","245","7.46","0.00","15.28","488","3.30","0.00","10.73","97","2.07","0.00","4.25","3062","1.40","0.00","3.36","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","60","3.80","2.06","5.54","Not Available","Not Available","Not Available","Not Available"
"010050","Not Available","5","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Number of Cases Too Small","j","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","Number of Cases Too Small","j","No Different than U.S. National Rate",,"Not Available","Not Available","Not Available","Not Available","1243","0.33","0.00","0.88","32","9.23","0.00","19.17","51","4.81","0.00","16.75","13","Not Available","Not Available","Not Available","1284","1.33","0.00","3.98","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010051","Not Available","5","No Different than U.S. National Rate",,"Not Available","5","Not Available","5","Not Available","5","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","Not Available","5","No Different than U.S. National Rate",,"Not Available","Not Available","Not Available","Not Available","549","0.38","0.00","0.97","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","551","1.85","0.00","4.99","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010052","Not Available","5","No Different than U.S. National Rate",,"Not Available","5","Not Available","5","Not Available","5","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","Not Available","5","No Different than U.S. National Rate",,"Not Available","Not Available","Not Available","Not Available","950","0.36","0.00","0.93","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","972","1.65","0.00","4.61","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010054","Number of Cases Too Small","j","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"15","Not Available","Not Available","Not Available","3020","0.50","0.03","0.97","207","12.24","4.64","19.84","352","8.84","0.82","16.86","62","2.04","0.00","4.20","3107","1.48","0.00","3.50","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","39","3.50","1.76","5.24","Not Available","Not Available","Not Available","Not Available"
"010055","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Better than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Better than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"99","156.21","112.50","199.92","8687","0.25","0.00","0.58","1674","5.52","1.58","9.46","3245","3.64","0.27","7.01","262","1.73","0.00","3.73","8930","1.28","0.26","2.30","Not Available","Not Available","Not Available","Not Available","36","4.01","1.56","6.46","208","2.76","1.21","4.31","Not Available","Not Available","Not Available","Not Available"
"010056","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"195","124.24","88.47","160.01","11971","0.57","0.26","0.88","3022","8.95","5.79","12.11","5095","6.07","3.35","8.79","410","1.66","0.00","3.60","12041","1.81","0.95","2.67","Not Available","Not Available","Not Available","Not Available","43","4.13","1.44","6.82","251","3.50","2.03","4.97","Not Available","Not Available","Not Available","Not Available"
"010058","Not Available","5","No Different than U.S. National Rate",,"Not Available","5","Not Available","5","Not Available","5","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","Not Available","5","No Different than U.S. National Rate",,"Not Available","Not Available","Not Available","Not Available","255","0.38","0.00","0.97","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","270","1.95","0.00","5.14","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
