"prvdr_id","msr_cd","scr"
"030006","HAC_1","0.000"
"030007","HAC_1","0.000"
"030010","HAC_1","0.000"
"030011","HAC_1","0.113"
"030012","HAC_1","0.000"
"030013","HAC_1","0.000"
"030014","HAC_1","0.000"
"030016","HAC_1","0.243"
"030022","HAC_1","0.000"
"030023","HAC_1","0.000"
"030024","HAC_1","0.108"
"030030","HAC_1","0.000"
"030033","HAC_1","0.000"
"030036","HAC_1","0.000"
"030037","HAC_1","0.000"
"030038","HAC_1","0.000"
"030043","HAC_1","0.000"
"030055","HAC_1","0.000"
"030061","HAC_1","0.000"
"030062","HAC_1","0.000"
"030064","HAC_1","0.384"
"030065","HAC_1","0.000"
"030067","HAC_1","0.000"
"030068","HAC_1","0.000"
"030069","HAC_1","0.000"
"030071","HAC_1","0.000"
"030073","HAC_1","0.000"
"030077","HAC_1","0.000"
"030078","HAC_1","0.000"
"030083","HAC_1","0.000"
"030084","HAC_1","0.000"
"030085","HAC_1","0.000"
"030087","HAC_1","0.000"
"030088","HAC_1","0.000"
"030089","HAC_1","0.000"
"030092","HAC_1","0.000"
"030093","HAC_1","0.000"
"030094","HAC_1","0.000"
"030100","HAC_1","0.371"
"030101","HAC_1","0.000"
"030103","HAC_1","0.072"
"030105","HAC_1","0.234"
"030107","HAC_1","0.000"
"030108","HAC_1","0.000"
"030110","HAC_1","0.352"
"030111","HAC_1","0.000"
"030112","HAC_1","0.000"
"030114","HAC_1","0.000"
"030115","HAC_1","0.000"
"030117","HAC_1","0.000"
"030118","HAC_1","0.000"
"030119","HAC_1","0.000"
"030120","HAC_1","0.000"
"030121","HAC_1","0.195"
"030122","HAC_1","0.000"
"030123","HAC_1","0.435"
"030126","HAC_1","0.000"
"030128","HAC_1","0.000"
"030129","HAC_1","N/A"
"030130","HAC_1","N/A"
"031300","HAC_1","N/A"
"031301","HAC_1","N/A"
"031302","HAC_1","N/A"
"031303","HAC_1","N/A"
"031304","HAC_1","N/A"
"031305","HAC_1","N/A"
"031309","HAC_1","N/A"
"031311","HAC_1","N/A"
"031312","HAC_1","N/A"
"031313","HAC_1","N/A"
"031314","HAC_1","N/A"
"031315","HAC_1","N/A"
"033302","HAC_1","N/A"
"040001","HAC_1","0.000"
"040002","HAC_1","0.000"
"040004","HAC_1","0.000"
"040007","HAC_1","0.000"
"040010","HAC_1","0.000"
"040011","HAC_1","0.000"
"040014","HAC_1","0.000"
"040015","HAC_1","0.000"
"040016","HAC_1","0.000"
"040017","HAC_1","0.000"
"040018","HAC_1","0.000"
"040019","HAC_1","0.000"
"040020","HAC_1","0.000"
"040022","HAC_1","0.000"
"040026","HAC_1","0.000"
"040027","HAC_1","0.000"
"040029","HAC_1","0.000"
"040036","HAC_1","0.000"
"040039","HAC_1","0.000"
"040041","HAC_1","0.000"
"040042","HAC_1","0.000"
"040047","HAC_1","0.000"
"040050","HAC_1","0.000"
"040051","HAC_1","0.000"
"040055","HAC_1","0.000"
"040062","HAC_1","0.000"
"040067","HAC_1","0.000"
"040069","HAC_1","0.000"
"040071","HAC_1","0.000"
"040072","HAC_1","0.000"
"040074","HAC_1","0.000"
"040076","HAC_1","0.000"
"040078","HAC_1","0.000"
"040080","HAC_1","0.000"
"040084","HAC_1","0.000"
"040085","HAC_1","0.000"
"040088","HAC_1","0.000"
"040091","HAC_1","0.000"
"040114","HAC_1","0.048"
"040118","HAC_1","0.000"
"040119","HAC_1","0.000"
"040132","HAC_1","0.000"
"040134","HAC_1","0.000"
"040137","HAC_1","0.000"
"040147","HAC_1","0.000"
"040152","HAC_1","0.000"
"041300","HAC_1","N/A"
"041302","HAC_1","N/A"
"041303","HAC_1","N/A"
"041304","HAC_1","N/A"
"041305","HAC_1","N/A"
"041307","HAC_1","N/A"
"041308","HAC_1","N/A"
"041309","HAC_1","N/A"
"041310","HAC_1","N/A"
"041311","HAC_1","N/A"
"041312","HAC_1","N/A"
"041313","HAC_1","N/A"
"041314","HAC_1","N/A"
"041316","HAC_1","N/A"
"041317","HAC_1","N/A"
"041318","HAC_1","N/A"
"041319","HAC_1","N/A"
"041320","HAC_1","N/A"
"041321","HAC_1","N/A"
"041323","HAC_1","N/A"
"041324","HAC_1","N/A"
"041326","HAC_1","N/A"
"041327","HAC_1","N/A"
"041328","HAC_1","N/A"
"041329","HAC_1","N/A"
"041330","HAC_1","N/A"
"041331","HAC_1","N/A"
"043300","HAC_1","N/A"
"050002","HAC_1","0.000"
"050006","HAC_1","0.204"
"050007","HAC_1","0.000"
"050008","HAC_1","0.000"
"050009","HAC_1","0.000"
"050013","HAC_1","0.286"
"050014","HAC_1","0.000"
"050016","HAC_1","0.422"
"050017","HAC_1","0.000"
"050018","HAC_1","0.000"
"050022","HAC_1","0.129"
"050024","HAC_1","0.000"
"050025","HAC_1","0.106"
"050026","HAC_1","0.076"
"050028","HAC_1","0.000"
"050030","HAC_1","0.000"
"050036","HAC_1","0.000"
"050038","HAC_1","0.000"
"050039","HAC_1","0.082"
"050040","HAC_1","0.000"
"050042","HAC_1","0.000"
"050043","HAC_1","0.000"
"050045","HAC_1","0.000"
"050046","HAC_1","0.000"
"050047","HAC_1","0.093"
"050054","HAC_1","0.000"
"050055","HAC_1","0.000"
"050056","HAC_1","0.000"
"050057","HAC_1","0.000"
"050058","HAC_1","0.000"
"050060","HAC_1","0.000"
"050063","HAC_1","0.000"
"050067","HAC_1","0.000"
"050069","HAC_1","0.113"
"050070","HAC_1","0.000"
"050071","HAC_1","0.000"
"050072","HAC_1","0.971"
"050073","HAC_1","0.000"
"050075","HAC_1","0.000"
"050076","HAC_1","0.000"
"050077","HAC_1","0.000"
"050078","HAC_1","0.324"
"050079","HAC_1","0.000"
"050082","HAC_1","0.000"
"050084","HAC_1","0.092"
"050089","HAC_1","0.000"
"050090","HAC_1","0.000"
"050091","HAC_1","0.000"
"050093","HAC_1","0.000"
"050096","HAC_1","0.000"
"050099","HAC_1","0.000"
"050100","HAC_1","0.000"
"050101","HAC_1","0.000"
"050102","HAC_1","0.000"
"050103","HAC_1","0.000"
"050104","HAC_1","0.000"
"050107","HAC_1","0.176"
"050108","HAC_1","0.000"
"050110","HAC_1","0.000"
"050111","HAC_1","0.000"
"050112","HAC_1","0.000"
"050113","HAC_1","0.000"
"050115","HAC_1","0.000"
"050116","HAC_1","0.143"
"050118","HAC_1","0.000"
"050121","HAC_1","0.000"
"050122","HAC_1","0.000"
"050124","HAC_1","0.000"
"050125","HAC_1","0.000"
"050126","HAC_1","0.000"
"050127","HAC_1","0.000"
"050128","HAC_1","0.371"
"050129","HAC_1","0.000"
"050131","HAC_1","0.000"
"050132","HAC_1","0.000"
"050133","HAC_1","0.110"
"050135","HAC_1","0.000"
"050136","HAC_1","0.427"
"050137","HAC_1","0.000"
"050138","HAC_1","0.000"
"050139","HAC_1","0.000"
"050140","HAC_1","0.000"
"050145","HAC_1","0.114"
"050149","HAC_1","0.000"
"050150","HAC_1","0.000"
"050152","HAC_1","0.000"
"050153","HAC_1","0.000"
"050158","HAC_1","0.000"
"050159","HAC_1","0.000"
"050167","HAC_1","0.000"
"050168","HAC_1","0.000"
"050169","HAC_1","0.000"
"050174","HAC_1","0.000"
"050179","HAC_1","0.000"
"050180","HAC_1","0.000"
"050189","HAC_1","0.000"
"050191","HAC_1","0.237"
"050192","HAC_1","0.000"
"050194","HAC_1","0.000"
"050195","HAC_1","0.112"
"050196","HAC_1","0.835"
"050197","HAC_1","0.000"
"050204","HAC_1","0.000"
"050205","HAC_1","0.000"
"050211","HAC_1","0.000"
"050219","HAC_1","0.000"
"050222","HAC_1","0.000"
"050224","HAC_1","0.000"
"050225","HAC_1","0.000"
"050226","HAC_1","0.000"
"050228","HAC_1","0.000"
"050230","HAC_1","0.000"
"050231","HAC_1","0.000"
"050232","HAC_1","0.000"
"050234","HAC_1","0.000"
"050235","HAC_1","0.205"
"050236","HAC_1","0.000"
"050238","HAC_1","0.104"
"050239","HAC_1","0.000"
"050242","HAC_1","0.000"
"050243","HAC_1","0.000"
"050245","HAC_1","0.000"
"050248","HAC_1","0.000"
"050254","HAC_1","0.000"
"050257","HAC_1","0.000"
"050261","HAC_1","0.000"
"050262","HAC_1","0.101"
"050272","HAC_1","0.000"
"050276","HAC_1","0.000"
"050277","HAC_1","0.000"
"050278","HAC_1","0.000"
"050279","HAC_1","0.000"
"050280","HAC_1","0.000"
"050281","HAC_1","0.000"
"050283","HAC_1","0.000"
"050289","HAC_1","0.000"
"050290","HAC_1","0.000"
"050291","HAC_1","0.412"
"050292","HAC_1","0.000"
"050295","HAC_1","0.203"
"050296","HAC_1","0.000"
"050298","HAC_1","0.000"
"050300","HAC_1","0.000"
"050301","HAC_1","0.000"
"050305","HAC_1","0.000"
"050308","HAC_1","0.000"
"050309","HAC_1","0.000"
"050313","HAC_1","0.000"
"050315","HAC_1","0.000"
"050320","HAC_1","0.000"
"050324","HAC_1","0.000"
"050327","HAC_1","0.000"
"050329","HAC_1","0.000"
"050334","HAC_1","0.132"
"050335","HAC_1","0.000"
"050336","HAC_1","0.000"
"050342","HAC_1","0.000"
"050348","HAC_1","0.000"
"050349","HAC_1","0.000"
"050350","HAC_1","0.000"
"050351","HAC_1","0.000"
"050352","HAC_1","0.000"
"050353","HAC_1","0.000"
"050357","HAC_1","0.000"
"050359","HAC_1","0.000"
"050360","HAC_1","0.000"
"050367","HAC_1","0.000"
"050373","HAC_1","0.000"
"050376","HAC_1","0.000"
"050378","HAC_1","0.000"
"050380","HAC_1","0.000"
"050382","HAC_1","0.105"
"050385","HAC_1","0.000"
"050390","HAC_1","0.000"
"050393","HAC_1","0.000"
"050394","HAC_1","0.164"
"050396","HAC_1","0.000"
"050397","HAC_1","0.000"
"050407","HAC_1","0.622"
"050411","HAC_1","0.000"
"050414","HAC_1","0.000"
"050417","HAC_1","0.000"
"050423","HAC_1","0.000"
"050424","HAC_1","0.000"
"050425","HAC_1","0.000"
"050426","HAC_1","0.000"
"050434","HAC_1","0.000"
"050435","HAC_1","0.000"
"050438","HAC_1","0.070"
"050441","HAC_1","0.000"
"050444","HAC_1","0.000"
"050448","HAC_1","0.000"
"050454","HAC_1","0.150"
"050455","HAC_1","0.000"
"050457","HAC_1","0.000"
"050464","HAC_1","0.000"
"050468","HAC_1","0.000"
"050471","HAC_1","0.000"
"050481","HAC_1","0.000"
"050485","HAC_1","0.000"
"050488","HAC_1","0.000"
"050492","HAC_1","0.000"
"050496","HAC_1","0.000"
"050498","HAC_1","0.000"
"050502","HAC_1","0.000"
"050503","HAC_1","0.225"
"050506","HAC_1","0.000"
"050510","HAC_1","0.000"
"050512","HAC_1","0.000"
"050515","HAC_1","0.000"
"050516","HAC_1","0.000"
"050517","HAC_1","0.000"
"050523","HAC_1","0.210"
