"prvdr_id","msr_cd","scr","footnote","Sample"
"010001","IMM_2","92","2","277"
"010001","IMM_1a","92","2","785"
"010005","IMM_2","90","2","549"
"010005","IMM_1a","85","2","1234"
"010006","IMM_2","97","2","262"
"010006","IMM_1a","96","2","651"
"010007","IMM_2","75","2","173"
"010007","IMM_1a","82","2","410"
"010008","IMM_2","86","2","147"
"010008","IMM_1a","80","2","378"
"010011","IMM_2","92","2","280"
"010011","IMM_1a","89","2","694"
"010012","IMM_2","99","2","195"
"010012","IMM_1a","98","2","479"
"010016","IMM_2","93","2","281"
"010016","IMM_1a","89","2","726"
"010018","IMM_2","35","1","17"
"010018","IMM_1a","41","","54"
"010019","IMM_2","96","2","264"
"010019","IMM_1a","98","2","582"
"010021","IMM_2","96","2","190"
"010021","IMM_1a","93","2","465"
"010022","IMM_2","91","2","162"
"010022","IMM_1a","96","2","488"
"010023","IMM_2","76","2","278"
"010023","IMM_1a","81","2","627"
"010024","IMM_2","97","2","274"
"010024","IMM_1a","92","2","751"
"010025","IMM_2","95","2","132"
"010025","IMM_1a","95","2","349"
"010029","IMM_2","82","2","388"
"010029","IMM_1a","74","2","2080"
"010032","IMM_2","42","","132"
"010032","IMM_1a","44","","454"
"010033","IMM_2","78","2","270"
"010033","IMM_1a","84","2","540"
"010034","IMM_2","93","2","153"
"010034","IMM_1a","85","2","520"
"010035","IMM_2","99","2","214"
"010035","IMM_1a","100","2","764"
"010036","IMM_2","92","2","159"
"010036","IMM_1a","97","2","375"
"010038","IMM_2","96","2","176"
"010038","IMM_1a","98","2","530"
"010039","IMM_2","94","2","288"
"010039","IMM_1a","94","2","608"
"010040","IMM_2","98","2","350"
"010040","IMM_1a","99","2","761"
"010044","IMM_2","91","2","163"
"010044","IMM_1a","97","2","500"
"010045","IMM_2","100","2","154"
"010045","IMM_1a","96","2","490"
"010046","IMM_2","100","2","257"
"010046","IMM_1a","100","2","851"
"010047","IMM_2","97","","119"
"010047","IMM_1a","97","","317"
"010049","IMM_2","98","2","236"
"010049","IMM_1a","99","2","541"
"010050","IMM_2","96","2","149"
"010050","IMM_1a","95","2","468"
"010051","IMM_2","0","2","119"
"010051","IMM_1a","3","2","333"
"010052","IMM_2","28","2","152"
"010052","IMM_1a","33","2","406"
"010054","IMM_2","95","2","149"
"010054","IMM_1a","93","2","430"
"010055","IMM_2","100","2","363"
"010055","IMM_1a","99","2","764"
"010056","IMM_2","97","2","257"
"010056","IMM_1a","91","2","587"
"010058","IMM_2","96","2","50"
"010058","IMM_1a","94","2","110"
"010059","IMM_2","92","2","148"
"010059","IMM_1a","96","2","449"
"010061","IMM_2","98","2","204"
"010061","IMM_1a","97","2","516"
"010062","IMM_2","64","2","155"
"010062","IMM_1a","66","2","451"
"010065","IMM_2","86","2","139"
"010065","IMM_1a","92","2","367"
"010066","IMM_2","53","1, 2","15"
"010066","IMM_1a","55","2","100"
"010069","IMM_2","94","2","171"
"010069","IMM_1a","95","2","521"
"010073","IMM_2","93","2","160"
"010073","IMM_1a","95","2","256"
"010078","IMM_2","90","2","294"
