"prvdr_id","msr_cd","scr","footnote"
"AK","IMM_2","80",""
"AK","IMM_1a","87",""
"AL","IMM_2","88",""
"AL","IMM_1a","88",""
"AR","IMM_2","87",""
"AR","IMM_1a","87",""
"AS","IMM_2","Not Available",""
"AS","IMM_1a","Not Available",""
"AZ","IMM_2","89",""
"AZ","IMM_1a","89",""
"CA","IMM_2","86",""
"CA","IMM_1a","88",""
"CO","IMM_2","90",""
"CO","IMM_1a","89",""
"CT","IMM_2","88",""
"CT","IMM_1a","87",""
"DC","IMM_2","80",""
"DC","IMM_1a","83",""
"DE","IMM_2","94",""
"DE","IMM_1a","95",""
"FL","IMM_2","93",""
"FL","IMM_1a","93",""
"GA","IMM_2","86",""
"GA","IMM_1a","88",""
"GU","IMM_2","Not Available",""
"GU","IMM_1a","Not Available",""
"HI","IMM_2","77",""
"HI","IMM_1a","85",""
"IA","IMM_2","89",""
"IA","IMM_1a","88",""
"ID","IMM_2","79",""
"ID","IMM_1a","86",""
"IL","IMM_2","90",""
"IL","IMM_1a","90",""
"IN","IMM_2","88",""
"IN","IMM_1a","88",""
"KS","IMM_2","87",""
"KS","IMM_1a","86",""
"KY","IMM_2","90",""
"KY","IMM_1a","91",""
"LA","IMM_2","82",""
"LA","IMM_1a","84",""
"MA","IMM_2","88",""
"MA","IMM_1a","89",""
"MD","IMM_2","93",""
"MD","IMM_1a","92",""
"ME","IMM_2","91",""
"ME","IMM_1a","92",""
"MI","IMM_2","87",""
"MI","IMM_1a","88",""
"MN","IMM_2","87",""
"MN","IMM_1a","87",""
"MO","IMM_2","91",""
"MO","IMM_1a","90",""
"MP","IMM_2","Not Available",""
"MP","IMM_1a","Not Available",""
"MS","IMM_2","84",""
"MS","IMM_1a","86",""
"MT","IMM_2","84",""
"MT","IMM_1a","87",""
"NC","IMM_2","91",""
"NC","IMM_1a","92",""
"ND","IMM_2","80",""
"ND","IMM_1a","85",""
"NE","IMM_2","87",""
"NE","IMM_1a","87",""
"NH","IMM_2","93",""
"NH","IMM_1a","91",""
"NJ","IMM_2","91",""
"NJ","IMM_1a","91",""
"NM","IMM_2","83",""
"NM","IMM_1a","89",""
"NV","IMM_2","92",""
"NV","IMM_1a","90",""
"NY","IMM_2","86",""
"NY","IMM_1a","86",""
"OH","IMM_2","92",""
"OH","IMM_1a","93",""
"OK","IMM_2","87",""
"OK","IMM_1a","88",""
"OR","IMM_2","83",""
"OR","IMM_1a","87",""
"PA","IMM_2","89",""
"PA","IMM_1a","89",""
"PR","IMM_2","42",""
"PR","IMM_1a","26",""
"RI","IMM_2","84",""
"RI","IMM_1a","83",""
"SC","IMM_2","93",""
"SC","IMM_1a","93",""
"SD","IMM_2","87",""
"SD","IMM_1a","82",""
"TN","IMM_2","91",""
"TN","IMM_1a","90",""
"TX","IMM_2","88",""
"TX","IMM_1a","88",""
"UT","IMM_2","91",""
"UT","IMM_1a","89",""
"VA","IMM_2","90",""
"VA","IMM_1a","90",""
"VI","IMM_2","77",""
"VI","IMM_1a","80",""
"VT","IMM_2","91",""
"VT","IMM_1a","92",""
"WA","IMM_2","89",""
"WA","IMM_1a","90",""
"WI","IMM_2","87",""
"WI","IMM_1a","88",""
"WV","IMM_2","92",""
"WV","IMM_1a","93",""
"WY","IMM_2","83",""
"WY","IMM_1a","87",""
