"prvdr_id","msr_cd","scr","footnote"
"AK","ED_1b","277",""
"AL","ED_1b","237",""
"AR","ED_1b","218",""
"AS","ED_1b","Not Available",""
"AZ","ED_1b","283",""
"CA","ED_1b","321",""
"CO","ED_1b","247",""
"CT","ED_1b","340",""
"DC","ED_1b","458",""
"DE","ED_1b","391",""
"FL","ED_1b","298",""
"GA","ED_1b","281",""
"GU","ED_1b","Not Available",""
"HI","ED_1b","315",""
"IA","ED_1b","202",""
"ID","ED_1b","236",""
"IL","ED_1b","261",""
"IN","ED_1b","241",""
"KS","ED_1b","185",""
"KY","ED_1b","236",""
"LA","ED_1b","262",""
"MA","ED_1b","310",""
"MD","ED_1b","351",""
"ME","ED_1b","286",""
"MI","ED_1b","290",""
"MN","ED_1b","199",""
"MO","ED_1b","236",""
"MP","ED_1b","Not Available",""
"MS","ED_1b","221",""
"MT","ED_1b","219",""
"NC","ED_1b","307",""
"ND","ED_1b","197",""
"NE","ED_1b","208",""
"NH","ED_1b","294",""
"NJ","ED_1b","351",""
"NM","ED_1b","297",""
"NV","ED_1b","343",""
"NY","ED_1b","366",""
"OH","ED_1b","267",""
"OK","ED_1b","211",""
"OR","ED_1b","231",""
"PA","ED_1b","272",""
"PR","ED_1b","698",""
"RI","ED_1b","329",""
"SC","ED_1b","273",""
"SD","ED_1b","178",""
"TN","ED_1b","242",""
"TX","ED_1b","268",""
"UT","ED_1b","217",""
"VA","ED_1b","283",""
"VI","ED_1b","1026",""
"VT","ED_1b","287",""
"WA","ED_1b","258",""
"WI","ED_1b","207",""
"WV","ED_1b","265",""
"WY","ED_1b","217",""
"AK","ED_2b","108",""
"AL","ED_2b","71",""
"AR","ED_2b","70",""
"AS","ED_2b","Not Available",""
"AZ","ED_2b","95",""
"CA","ED_2b","120",""
"CO","ED_2b","95",""
"CT","ED_2b","141",""
"DC","ED_2b","206",""
"DE","ED_2b","186",""
"FL","ED_2b","114",""
"GA","ED_2b","96",""
"GU","ED_2b","Not Available",""
"HI","ED_2b","124",""
"IA","ED_2b","55",""
"ID","ED_2b","79",""
"IL","ED_2b","90",""
"IN","ED_2b","80",""
"KS","ED_2b","57",""
"KY","ED_2b","76",""
"LA","ED_2b","86",""
"MA","ED_2b","116",""
"MD","ED_2b","142",""
"ME","ED_2b","109",""
"MI","ED_2b","103",""
"MN","ED_2b","60",""
"MO","ED_2b","78",""
"MP","ED_2b","Not Available",""
"MS","ED_2b","60",""
"MT","ED_2b","69",""
"NC","ED_2b","110",""
"ND","ED_2b","60",""
"NE","ED_2b","77",""
"NH","ED_2b","110",""
"NJ","ED_2b","143",""
"NM","ED_2b","107",""
"NV","ED_2b","157",""
"NY","ED_2b","147",""
"OH","ED_2b","88",""
"OK","ED_2b","62",""
"OR","ED_2b","80",""
"PA","ED_2b","97",""
"PR","ED_2b","195",""
"RI","ED_2b","115",""
"SC","ED_2b","92",""
"SD","ED_2b","39",""
"TN","ED_2b","78",""
"TX","ED_2b","96",""
"UT","ED_2b","65",""
"VA","ED_2b","97",""
"VI","ED_2b","640",""
"VT","ED_2b","122",""
"WA","ED_2b","95",""
"WI","ED_2b","65",""
"WV","ED_2b","80",""
"WY","ED_2b","65",""
"AK","OP_18b","129",""
"AL","OP_18b","140",""
