"msr_cd","scr"
"HAC_1","0.028"
"HAC_2","0.003"
"HAC_3","0.001"
"HAC_4","0.136"
"HAC_5","0.527"
"HAC_6","0.372"
"HAC_7","0.358"
"HAC_8","0.058"
