"Provider ID","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"030016","SPP_1","0.94",,"01/01/2012","12/31/2012"
"030022","SPP_1","0.91",,"01/01/2012","12/31/2012"
"030023","SPP_1","0.88",,"01/01/2012","12/31/2012"
"030024","SPP_1","1.00",,"01/01/2012","12/31/2012"
"030030","SPP_1","0.98",,"01/01/2012","12/31/2012"
"030033","SPP_1","0.91",,"01/01/2012","12/31/2012"
"030036","SPP_1","0.95",,"01/01/2012","12/31/2012"
"030037","SPP_1","1.01",,"01/01/2012","12/31/2012"
"030038","SPP_1","1.01",,"01/01/2012","12/31/2012"
"030043","SPP_1","0.92",,"01/01/2012","12/31/2012"
"030055","SPP_1","0.91",,"01/01/2012","12/31/2012"
"030061","SPP_1","0.94",,"01/01/2012","12/31/2012"
"030062","SPP_1","0.85",,"01/01/2012","12/31/2012"
"030064","SPP_1","0.98",,"01/01/2012","12/31/2012"
"030065","SPP_1","0.98",,"01/01/2012","12/31/2012"
"030068","SPP_1","0.84",,"01/01/2012","12/31/2012"
"030069","SPP_1","0.88",,"01/01/2012","12/31/2012"
"030071","SPP_1","0.72",,"01/01/2012","12/31/2012"
"030073","SPP_1","0.72",,"01/01/2012","12/31/2012"
"030074","SPP_1","Not Available","1","01/01/2012","12/31/2012"
"030078","SPP_1","0.75",,"01/01/2012","12/31/2012"
"030083","SPP_1","0.97",,"01/01/2012","12/31/2012"
"030084","SPP_1","0.64",,"01/01/2012","12/31/2012"
"030085","SPP_1","1.01",,"01/01/2012","12/31/2012"
"030087","SPP_1","1.03",,"01/01/2012","12/31/2012"
"030088","SPP_1","0.98",,"01/01/2012","12/31/2012"
"030089","SPP_1","0.99",,"01/01/2012","12/31/2012"
"030092","SPP_1","0.96",,"01/01/2012","12/31/2012"
"030093","SPP_1","0.98",,"01/01/2012","12/31/2012"
"030094","SPP_1","1.00",,"01/01/2012","12/31/2012"
"030101","SPP_1","0.88",,"01/01/2012","12/31/2012"
"030103","SPP_1","0.91",,"01/01/2012","12/31/2012"
