"prvdr_id","scr","msr_cd","ftnt_id"
"040091","0.88","SPP_1",""
"040114","0.99","SPP_1",""
"040118","1","SPP_1",""
"040119","0.99","SPP_1",""
"040134","0.92","SPP_1",""
"040137","1.05","SPP_1",""
"040147","0.9","SPP_1",""
"040152","1.03","SPP_1",""
"050002","1.02","SPP_1",""
"050006","0.95","SPP_1",""
"050007","0.87","SPP_1",""
"050008","0.96","SPP_1",""
"050009","0.93","SPP_1",""
"050013","0.83","SPP_1",""
"050014","0.85","SPP_1",""
"050016","0.91","SPP_1",""
"050017","0.93","SPP_1",""
"050018","1.03","SPP_1",""
"050022","1.05","SPP_1",""
"050024","1.07","SPP_1",""
"050025","0.98","SPP_1",""
"050026","1.01","SPP_1",""
"050028","0.93","SPP_1",""
"050030","0.88","SPP_1",""
"050036","1.04","SPP_1",""
"050038","0.94","SPP_1",""
"050039","0.98","SPP_1",""
"050040","1.03","SPP_1",""
"050042","0.89","SPP_1",""
"050043","1.01","SPP_1",""
"050045","0.89","SPP_1",""
"050046","0.84","SPP_1",""
"050047","0.91","SPP_1",""
"050054","1.07","SPP_1",""
"050055","0.84","SPP_1",""
"050056","0.99","SPP_1",""
"050057","0.96","SPP_1",""
"050058","1.02","SPP_1",""
"050060","0.99","SPP_1",""
"050063","1.13","SPP_1",""
"050067","0.93","SPP_1",""
"050069","0.99","SPP_1",""
"050070","0.73","SPP_1",""
"050071","0.81","SPP_1",""
"050072","0.66","SPP_1",""
"050073","0.81","SPP_1",""
"050075","0.75","SPP_1",""
"050076","0.69","SPP_1",""
"050077","1.05","SPP_1",""
"050078","0.96","SPP_1",""
"050079","0.97","SPP_1",""
"050082","1.02","SPP_1",""
"050084","1.02","SPP_1",""
"050089","1.03","SPP_1",""
"050090","0.91","SPP_1",""
"050091","0.92","SPP_1",""
"050093","1","SPP_1",""
"050096","1.23","SPP_1",""
"050099","1.09","SPP_1",""
"050100","0.99","SPP_1",""
"050101","1.05","SPP_1",""
"050102","1.16","SPP_1",""
"050103","1.07","SPP_1",""
"050104","1.1","SPP_1",""
"050107","0.94","SPP_1",""
"050108","0.93","SPP_1",""
"050110","0.88","SPP_1",""
"050111","1.35","SPP_1",""
"050112","1.03","SPP_1",""
"050113","0.84","SPP_1",""
"050115","1.02","SPP_1",""
"050116","1.04","SPP_1",""
"050118","0.97","SPP_1",""
"050121","0.95","SPP_1",""
"050122","1.06","SPP_1",""
"050124","1.09","SPP_1",""
"050125","0.98","SPP_1",""
"050126","1.13","SPP_1",""
"050127","0.91","SPP_1",""
"050128","1.05","SPP_1",""
"050129","1.06","SPP_1",""
"050131","1","SPP_1",""
"050132","1.11","SPP_1",""
"050133","0.93","SPP_1",""
"050135","1.33","SPP_1",""
"050136","1","SPP_1",""
"050137","0.75","SPP_1",""
"050138","0.88","SPP_1",""
"050139","0.77","SPP_1",""
"050140","0.82","SPP_1",""
"050145","0.95","SPP_1",""
"050149","1","SPP_1",""
"050150","0.88","SPP_1",""
"050152","1.02","SPP_1",""
"050153","0.96","SPP_1",""
"050158","1.03","SPP_1",""
"050159","0.95","SPP_1",""
"050167","1","SPP_1",""
"050168","1.07","SPP_1",""
"050169","1.02","SPP_1",""
"050174","0.99","SPP_1",""
"050179","0.96","SPP_1",""
"050180","1.03","SPP_1",""
"050189","0.93","SPP_1",""
"050191","1.13","SPP_1",""
"050192","0.98","SPP_1",""
"050194","0.93","SPP_1",""
"050195","0.96","SPP_1",""
"050196","Not Available","SPP_1","16"
"050197","0.95","SPP_1",""
"050204","0.98","SPP_1",""
"050205","1.5","SPP_1",""
"050211","0.95","SPP_1",""
"050222","0.99","SPP_1",""
"050224","1.03","SPP_1",""
"050225","0.91","SPP_1",""
"050226","1.08","SPP_1",""
"050228","0.93","SPP_1",""
"050230","1.09","SPP_1",""
"050231","1.03","SPP_1",""
"050232","0.95","SPP_1",""
"050234","0.88","SPP_1",""
"050235","1.01","SPP_1",""
"050236","1.04","SPP_1",""
"050238","1.04","SPP_1",""
"050239","1.05","SPP_1",""
"050242","0.99","SPP_1",""
"050243","1.03","SPP_1",""
"050245","1","SPP_1",""
"050248","0.93","SPP_1",""
"050254","0.86","SPP_1",""
"050257","0.88","SPP_1",""
"050261","0.94","SPP_1",""
"050262","0.97","SPP_1",""
"050272","0.94","SPP_1",""
"050276","0.91","SPP_1",""
"050277","1.18","SPP_1",""
"050278","1.05","SPP_1",""
"050279","0.9","SPP_1",""
"050280","0.99","SPP_1",""
"050281","1.19","SPP_1",""
"050283","0.99","SPP_1",""
"050289","1","SPP_1",""
"050290","0.94","SPP_1",""
"050291","0.96","SPP_1",""
"050292","0.91","SPP_1",""
"050295","1.04","SPP_1",""
"050296","0.93","SPP_1",""
"050298","0.91","SPP_1",""
"050300","0.93","SPP_1",""
"050301","0.86","SPP_1",""
"050305","0.98","SPP_1",""
"050308","1","SPP_1",""
"050309","0.93","SPP_1",""
"050313","0.99","SPP_1",""
"050315","0.87","SPP_1",""
"050320","0.98","SPP_1",""
"050324","0.98","SPP_1",""
"050327","0.96","SPP_1",""
"050329","1.08","SPP_1",""
"050334","0.98","SPP_1",""
"050335","0.83","SPP_1",""
"050336","1.03","SPP_1",""
"050342","0.92","SPP_1",""
"050348","1.03","SPP_1",""
"050349","0.75","SPP_1",""
"050350","1.07","SPP_1",""
"050351","0.98","SPP_1",""
"050352","0.86","SPP_1",""
"050353","0.98","SPP_1",""
"050357","0.94","SPP_1",""
"050359","0.95","SPP_1",""
"050360","1.02","SPP_1",""
"050367","0.96","SPP_1",""
"050373","0.92","SPP_1",""
"050376","0.91","SPP_1",""
"050378","1.21","SPP_1",""
"050380","1","SPP_1",""
"050382","1.09","SPP_1",""
"050385","0.94","SPP_1",""
"050390","1","SPP_1",""
"050393","1.09","SPP_1",""
"050394","0.94","SPP_1",""
"050396","0.96","SPP_1",""
"050397","0.6","SPP_1",""
"050407","0.94","SPP_1",""
"050411","0.74","SPP_1",""
"050414","0.91","SPP_1",""
"050417","0.86","SPP_1",""
"050423","0.88","SPP_1",""
"050424","0.93","SPP_1",""
"050425","0.82","SPP_1",""
"050426","1.07","SPP_1",""
"050434","0.8","SPP_1",""
"050435","0.9","SPP_1",""
"050438","0.97","SPP_1",""
"050441","0.97","SPP_1",""
"050444","0.95","SPP_1",""
"050448","0.91","SPP_1",""
"050454","0.98","SPP_1",""
"050455","1.02","SPP_1",""
"050457","0.95","SPP_1",""
"050464","0.97","SPP_1",""
"050468","1.29","SPP_1",""
"050471","0.99","SPP_1",""
"050481","1.1","SPP_1",""
"050485","1.05","SPP_1",""
"050488","0.95","SPP_1",""
"050492","1.09","SPP_1",""
"050496","1.02","SPP_1",""
"050498","0.89","SPP_1",""
"050502","1.01","SPP_1",""
"050503","1.02","SPP_1",""
"050506","0.99","SPP_1",""
"050510","0.8","SPP_1",""
"050512","0.78","SPP_1",""
"050515","0.67","SPP_1",""
"050516","0.95","SPP_1",""
"050517","0.92","SPP_1",""
"050523","0.99","SPP_1",""
"050526","1.1","SPP_1",""
"050528","0.9","SPP_1",""
"050531","1.21","SPP_1",""
"050534","0.99","SPP_1",""
"050537","0.88","SPP_1",""
"050541","0.88","SPP_1",""
"050543","1.17","SPP_1",""
"050547","0.6","SPP_1",""
"050549","0.99","SPP_1",""
"050551","1.1","SPP_1",""
"050552","0.78","SPP_1",""
"050557","0.97","SPP_1",""
"050561","0.78","SPP_1",""
"050567","0.99","SPP_1",""
"050568","1.02","SPP_1",""
"050570","1.13","SPP_1",""
"050573","0.98","SPP_1",""
"050575","1.34","SPP_1",""
"050580","1.12","SPP_1",""
"050581","1.17","SPP_1",""
"050586","0.95","SPP_1",""
"050588","1.08","SPP_1",""
"050589","1.04","SPP_1",""
"050590","0.92","SPP_1",""
"050597","1.1","SPP_1",""
"050599","0.93","SPP_1",""
"050603","1.02","SPP_1",""
"050604","0.88","SPP_1",""
"050608","0.97","SPP_1",""
"050609","0.95","SPP_1",""
"050616","1","SPP_1",""
"050618","1.11","SPP_1",""
"050624","1.01","SPP_1",""
"050625","1.02","SPP_1",""
"050633","0.95","SPP_1",""
"050636","0.94","SPP_1",""
"050641","0.96","SPP_1",""
"050644","1.53","SPP_1",""
"050663","1.32","SPP_1",""
"050668","Not Available","SPP_1","16"
"050674","0.76","SPP_1",""
"050677","0.71","SPP_1",""
"050678","1","SPP_1",""
"050684","1.01","SPP_1",""
"050686","0.73","SPP_1",""
"050688","1.02","SPP_1",""
"050689","0.99","SPP_1",""
"050690","0.75","SPP_1",""
"050696","0.98","SPP_1",""
"050697","0.76","SPP_1",""
"050701","0.99","SPP_1",""
"050704","1.16","SPP_1",""
"050708","0.84","SPP_1",""
"050709","0.86","SPP_1",""
"050710","Not Available","SPP_1","16"
"050714","0.81","SPP_1",""
"050717","1.33","SPP_1",""
"050723","0.81","SPP_1",""
"050724","0.97","SPP_1",""
"050726","0.89","SPP_1",""
"050727","Not Available","SPP_1","16"
"050732","0.93","SPP_1",""
"050735","1.3","SPP_1",""
"050736","1.01","SPP_1",""
"050737","1.08","SPP_1",""
"050738","1.25","SPP_1",""
"050739","0.98","SPP_1",""
"050740","0.99","SPP_1",""
"050742","1.13","SPP_1",""
"050744","1.16","SPP_1",""
"050745","1.1","SPP_1",""
"050746","1.06","SPP_1",""
"050747","1.17","SPP_1",""
"050748","1.01","SPP_1",""
"050749","0.93","SPP_1",""
"050751","Not Available","SPP_1","16"
"050752","1.19","SPP_1",""
"050754","Not Available","SPP_1","16"
"050755","1.1","SPP_1",""
"050757","1.04","SPP_1",""
"050758","0.98","SPP_1",""
"050760","0.7","SPP_1",""
"050761","1.03","SPP_1",""
"050763","1.33","SPP_1",""
"050764","0.92","SPP_1",""
"050765","0.97","SPP_1",""
"050766","0.89","SPP_1",""
"050767","Not Available","SPP_1","16"
"050768","1.34","SPP_1",""
"050769","0.92","SPP_1",""
"050770","0.93","SPP_1",""
"050771","1.12","SPP_1",""
"050772","Not Available","SPP_1","16"
"060001","0.98","SPP_1",""
"060003","0.98","SPP_1",""
"060004","1.07","SPP_1",""
"060006","0.95","SPP_1",""
"060008","0.99","SPP_1",""
"060009","1","SPP_1",""
"060010","0.97","SPP_1",""
"060011","0.9","SPP_1",""
"060012","1","SPP_1",""
"060013","0.94","SPP_1",""
"060014","1.02","SPP_1",""
"060015","0.98","SPP_1",""
"060016","0.94","SPP_1",""
"060020","0.95","SPP_1",""
"060022","1.01","SPP_1",""
"060023","0.98","SPP_1",""
"060024","0.94","SPP_1",""
"060027","0.96","SPP_1",""
"060028","1.09","SPP_1",""
"060030","0.96","SPP_1",""
"060031","1.02","SPP_1",""
"060032","0.97","SPP_1",""
"060034","1.02","SPP_1",""
"060036","0.9","SPP_1",""
"060043","Not Available","SPP_1","16"
"060044","1.02","SPP_1",""
"060049","0.91","SPP_1",""
"060054","0.92","SPP_1",""
"060064","0.99","SPP_1",""
"060065","1.02","SPP_1",""
"060071","0.95","SPP_1",""
"060075","0.95","SPP_1",""
"060076","1","SPP_1",""
"060096","0.97","SPP_1",""
"060100","1.04","SPP_1",""
"060103","0.95","SPP_1",""
"060104","1","SPP_1",""
"060112","0.93","SPP_1",""
"060113","1.02","SPP_1",""
"060114","0.96","SPP_1",""
"060116","0.99","SPP_1",""
"060117","1.02","SPP_1",""
"060118","0.97","SPP_1",""
"060119","1.07","SPP_1",""
"060124","0.92","SPP_1",""
"070001","1.05","SPP_1",""
"070002","1.05","SPP_1",""
"070003","1.05","SPP_1",""
"070004","0.99","SPP_1",""
"070005","0.99","SPP_1",""
"070006","1.07","SPP_1",""
"070007","1.03","SPP_1",""
"070008","1.06","SPP_1",""
"070010","1.04","SPP_1",""
"070011","0.98","SPP_1",""
"070012","1.07","SPP_1",""
"070015","1.01","SPP_1",""
"070016","1","SPP_1",""
"070017","1.05","SPP_1",""
"070018","1.02","SPP_1",""
"070019","1.02","SPP_1",""
"070020","1","SPP_1",""
"070021","1.01","SPP_1",""
"070022","1","SPP_1",""
"070024","1","SPP_1",""
"070025","1","SPP_1",""
"070027","1.07","SPP_1",""
"070028","1.05","SPP_1",""
"070029","1.06","SPP_1",""
"070031","1.03","SPP_1",""
"070033","1.03","SPP_1",""
"070034","1","SPP_1",""
"070035","0.99","SPP_1",""
"070036","0.97","SPP_1",""
"070039","0.95","SPP_1",""
"070040","0.89","SPP_1",""
"080001","1.02","SPP_1",""
"080003","0.97","SPP_1",""
"080004","1.02","SPP_1",""
"080006","1","SPP_1",""
"080007","0.96","SPP_1",""
"080009","0.95","SPP_1",""
"090001","1.03","SPP_1",""
"090003","0.89","SPP_1",""
"090004","1.03","SPP_1",""
"090005","0.96","SPP_1",""
"090006","1","SPP_1",""
"090008","1.04","SPP_1",""
"090011","0.99","SPP_1",""
"100001","1","SPP_1",""
"100002","1.12","SPP_1",""
"100006","1.03","SPP_1",""
"100007","1.06","SPP_1",""
"100008","1.04","SPP_1",""
"100009","1.09","SPP_1",""
"100012","1.01","SPP_1",""
"100014","1.02","SPP_1",""
"100017","1.06","SPP_1",""
"100018","1.03","SPP_1",""
"100019","1.09","SPP_1",""
"100022","1.05","SPP_1",""
"100023","1.06","SPP_1",""
"100025","1.02","SPP_1",""
"100026","1.04","SPP_1",""
"100028","1.03","SPP_1",""
"100029","1.18","SPP_1",""
"100030","1.06","SPP_1",""
"100032","1.15","SPP_1",""
"100034","1.11","SPP_1",""
"100035","1.11","SPP_1",""
"100038","1.07","SPP_1",""
"100039","1.01","SPP_1",""
"100040","1.04","SPP_1",""
"100043","1.1","SPP_1",""
"100044","1.04","SPP_1",""
"100045","1.02","SPP_1",""
"100046","1","SPP_1",""
"100047","1.03","SPP_1",""
"100048","0.93","SPP_1",""
"100049","1.06","SPP_1",""
"100050","1.11","SPP_1",""
"100051","1.03","SPP_1",""
"100052","1.1","SPP_1",""
"100053","1.11","SPP_1",""
"100054","0.95","SPP_1",""
"100055","1.09","SPP_1",""
"100057","1.03","SPP_1",""
"100062","1.01","SPP_1",""
"100063","1.11","SPP_1",""
"100067","1.05","SPP_1",""
"100068","1.03","SPP_1",""
"100069","1.07","SPP_1",""
"100070","1.05","SPP_1",""
"100071","1.06","SPP_1",""
"100072","1.02","SPP_1",""
"100073","1.07","SPP_1",""
"100075","1.06","SPP_1",""
"100076","1.08","SPP_1",""
"100077","1.04","SPP_1",""
"100080","1.06","SPP_1",""
"100081","1.07","SPP_1",""
"100084","1.05","SPP_1",""
"100086","1.08","SPP_1",""
"100087","1.1","SPP_1",""
"100088","1.11","SPP_1",""
"100090","1.05","SPP_1",""
"100092","1.06","SPP_1",""
"100093","1.01","SPP_1",""
"100099","0.99","SPP_1",""
"100102","1.03","SPP_1",""
"100105","1.03","SPP_1",""
"100106","0.97","SPP_1",""
"100107","1.07","SPP_1",""
"100109","1.05","SPP_1",""
"100110","1.04","SPP_1",""
"100113","1","SPP_1",""
"100117","1.16","SPP_1",""
"100118","1.01","SPP_1",""
"100121","1","SPP_1",""
"100122","1.03","SPP_1",""
"100124","1.02","SPP_1",""
"100125","1.08","SPP_1",""
"100126","1.15","SPP_1",""
"100127","1.07","SPP_1",""
"100128","1.03","SPP_1",""
"100130","0.95","SPP_1",""
"100131","1.14","SPP_1",""
"100132","1.07","SPP_1",""
"100135","1.05","SPP_1",""
"100137","1.06","SPP_1",""
"100139","0.99","SPP_1",""
"100140","0.91","SPP_1",""
"100142","1.04","SPP_1",""
"100150","0.9","SPP_1",""
"100151","0.98","SPP_1",""
"100154","1.02","SPP_1",""
"100156","1.08","SPP_1",""
"100157","1.03","SPP_1",""
"100161","0.99","SPP_1",""
"100166","1.09","SPP_1",""
"100167","1.02","SPP_1",""
"100168","1.07","SPP_1",""
"100173","1.09","SPP_1",""
