"prvdr_id","msr_cd","scr","footnote"
"501303","HAI_3_PROCDAYS","Not Available","5"
"501303","HAI_3_CI_UPPER",,"5"
"501303","HAI_3_CI_LOWER",,"5"
"501303","HAI_4_SIR","Not Available","5"
"501303","HAI_4_ELIGCASES","Not Available","5"
"501303","HAI_4_NUMERATOR","Not Available","5"
"501303","HAI_4_PROCDAYS","Not Available","5"
"501303","HAI_4_CI_UPPER",,"5"
"501303","HAI_4_CI_LOWER",,"5"
"501305","HAI_1_SIR","Not Available","5"
"501305","HAI_1_ELIGCASES","Not Available","5"
"501305","HAI_1_NUMERATOR","Not Available","5"
"501305","HAI_1_DEVICEDAYS","Not Available","4"
"501305","HAI_1_CI_UPPER",,"5"
"501305","HAI_1_CI_LOWER",,"5"
"501305","HAI_2_SIR","Not Available","5"
"501305","HAI_2_ELIGCASES","Not Available","5"
"501305","HAI_2_NUMERATOR","Not Available","5"
"501305","HAI_2_DEVICEDAYS","Not Available","5"
"501305","HAI_2_CI_UPPER",,"5"
"501305","HAI_2_CI_LOWER",,"5"
"501305","HAI_3_SIR","Not Available","5"
"501305","HAI_3_ELIGCASES","Not Available","5"
"501305","HAI_3_NUMERATOR","Not Available","5"
"501305","HAI_3_PROCDAYS","Not Available","5"
"501305","HAI_3_CI_UPPER",,"5"
"501305","HAI_3_CI_LOWER",,"5"
"501305","HAI_4_SIR","Not Available","5"
"501305","HAI_4_ELIGCASES","Not Available","5"
"501305","HAI_4_NUMERATOR","Not Available","5"
"501305","HAI_4_PROCDAYS","Not Available","5"
"501305","HAI_4_CI_UPPER",,"5"
"501305","HAI_4_CI_LOWER",,"5"
"251323","HAI_1_SIR","Not Available","5"
"251323","HAI_1_ELIGCASES","Not Available","5"
"251323","HAI_1_NUMERATOR","Not Available","5"
"251323","HAI_1_DEVICEDAYS","Not Available","4"
"251323","HAI_1_CI_UPPER",,"5"
"251323","HAI_1_CI_LOWER",,"5"
"251323","HAI_2_SIR","Not Available","5"
"251323","HAI_2_ELIGCASES","Not Available","5"
"251323","HAI_2_NUMERATOR","Not Available","5"
"251323","HAI_2_DEVICEDAYS","Not Available","5"
"251323","HAI_2_CI_UPPER",,"5"
"251323","HAI_2_CI_LOWER",,"5"
"251323","HAI_3_SIR","Not Available","5"
