"Prvdr_id","PSI_4_SURG_COMP","PSI_4_SURG_COMP_F","PSI_6_IAT_PTX","PSI_6_IAT_PTX_F","PSI_11_POSTOP_RESPFAIL","PSI_11_POSTOP_RESPFAIL_F","PSI_12_POSTOP_PULMEMB_DVT","PSI_12_POSTOP_PULMEMB_DVT_F","PSI_14_POSTOP_DEHIS","PSI_14_POSTOP_DEHIS_F","PSI_15_ACC_LAC","PSI_15_ACC_LAC_F","PSI_90_SAFETY","PSI_90_SAFETY_F","IQI_11_AAA","IQI_11_AAA_F","IQI_19_HIP_FX","IQI_19_HIP_FX_F","IQI_91_CONDS","IQI_91_CONDS_F","PSI_4_SURG_COMP_NUM_DC","PSI_4_SURG_COMP_RATE","PSI_4_SURG_COMP_LOW_EST","PSI_4_SURG_COMP_HIGH_EST","PSI_6_IAT_PTX_NUM_DC","PSI_6_IAT_PTX_RATE","PSI_6_IAT_PTX_LOW_EST","PSI_6_IAT_PTX_HIGH_EST","PSI_11_POSTOP_RESPFAIL_NUM_DC","PSI_11_POSTOP_RESPFAIL_RATE","PSI_11_POSTOP_RESPFAIL_LOW_EST","PSI_11_POSTOP_RESPFAIL_HIGH_EST","PSI_12_POSTOP_PULMEMB_DVT_NUM_DC","PSI_12_POSTOP_PULMEMB_DVT_RATE","PSI_12_POSTOP_PULMEMB_DVT_LOW_EST","PSI_12_POSTOP_PULMEMB_DVT_HIGH_EST","PSI_14_POSTOP_DEHIS_NUM_DC","PSI_14_POSTOP_DEHIS_RATE","PSI_14_POSTOP_DEHIS_LOW_EST","PSI_14_POSTOP_DEHIS_HIGH_EST","PSI_15_ACC_LAC_NUM_DC","PSI_15_ACC_LAC_RATE","PSI_15_ACC_LAC_LOW_EST","PSI_15_ACC_LAC_HIGH_EST","PSI_90_SAFETY_NUM_DC","PSI_90_SAFETY_RATE","PSI_90_SAFETY_LOW_EST","PSI_90_SAFETY_HIGH_EST","IQI_11_AAA_NUM_DC","IQI_11_AAA_RATE","IQI_11_AAA_LOW_EST","IQI_11_AAA_HIGH_EST","IQI_19_HIP_FX_NUM_DC","IQI_19_HIP_FX_RATE","IQI_19_HIP_FX_LOW_EST","IQI_19_HIP_FX_HIGH_EST","IQI_91_CONDS_NUM_DC","IQI_91_CONDS_RATE","IQI_91_CONDS_LOW_EST","IQI_91_CONDS_HIGH_EST"
"420037","Number of Cases Too Small","j","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","4","Not Available","4","Not Available","4","11","Not Available","Not Available","Not Available","1551","0.30","0.00","0.71","Not Available","Not Available","Not Available","Not Available","366","5.69","1.61","9.77","40","0.84","0.00","3.02","1568","2.65","0.75","4.55","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"510055","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","4","Not Available","4","Not Available","4","89","150.78","111.36","190.20","7439","0.29","0.00","0.60","Not Available","Not Available","Not Available","Not Available","2414","4.31","2.06","6.56","437","1.63","0.04","3.22","7814","2.86","1.86","3.86","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"510058","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","4","Not Available","4","Not Available","4","128","128.64","92.01","165.27","10844","0.42","0.13","0.71","Not Available","Not Available","Not Available","Not Available","2503","2.74","0.27","5.21","409","1.54","0.01","3.07","11101","2.36","1.40","3.32","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"490105","Not Available","5","No Different than U.S. National Rate",,"Not Available","5","Not Available","5","Not Available","5","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","4","Not Available","4","Not Available","4","Not Available","Not Available","Not Available","Not Available","49","0.34","0.00","0.77","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","49","2.04","0.00","4.43","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"451315","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","4","Not Available","4","Not Available","4","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"490106","Not Available","5","Number of Cases Too Small","j","Not Available","5","Not Available","5","Not Available","5","Number of Cases Too Small","j","No Different than U.S. National Rate",,"Not Available","4","Not Available","4","Not Available","4","Not Available","Not Available","Not Available","Not Available","6","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","6","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"490107","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Better than U.S. National Rate",,"Worse than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","4","Not Available","4","Not Available","4","84","104.96","62.27","147.65","6098","0.26","0.00","0.59","Not Available","Not Available","Not Available","Not Available","2265","7.63","5.34","9.92","232","0.55","0.00","2.31","5936","1.69","0.51","2.87","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"460035","Not Available","5","No Different than U.S. National Rate",,"Not Available","5","Not Available","5","Not Available","5","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","4","Not Available","4","Not Available","4","Not Available","Not Available","Not Available","Not Available","269","0.34","0.00","0.77","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","295","1.99","0.00","4.36","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"460039","Not Available","5","No Different than U.S. National Rate",,"Number of Cases Too Small","j","No Different than U.S. National Rate",,"Not Available","5","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","4","Not Available","4","Not Available","4","Not Available","Not Available","Not Available","Not Available","171","0.34","0.00","0.77","Not Available","Not Available","Not Available","Not Available","25","4.51","0.00","9.59","Not Available","Not Available","Not Available","Not Available","176","2.49","0.14","4.84","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"460041","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","4","Not Available","4","Not Available","4","37","111.48","64.46","158.50","2110","0.45","0.06","0.84","Not Available","Not Available","Not Available","Not Available","627","3.65","0.12","7.18","85","1.75","0.00","3.81","2167","2.44","0.81","4.07","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"460042","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","4","Not Available","4","Not Available","4","50","100.56","56.11","145.01","2289","0.27","0.00","0.66","Not Available","Not Available","Not Available","Not Available","959","2.38","0.00","5.59","71","0.72","0.00","2.74","2288","1.32","0.00","3.03","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"500072","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","4","Not Available","4","Not Available","4","47","109.79","65.75","153.83","4895","0.25","0.00","0.56","Not Available","Not Available","Not Available","Not Available","1234","3.18","0.36","6.00","222","1.19","0.00","2.88","5156","2.53","1.28","3.78","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"500077","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","4","Not Available","4","Not Available","4","68","129.25","84.56","173.94","6489","0.20","0.00","0.49","Not Available","Not Available","Not Available","Not Available","1963","3.04","1.06","5.02","171","0.57","0.00","2.37","6718","1.67","0.55","2.79","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"500079","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","4","Not Available","4","Not Available","4","107","143.08","107.62","178.54","9955","0.23","0.00","0.50","Not Available","Not Available","Not Available","Not Available","1987","4.69","2.36","7.02","309","1.01","0.00","2.56","10208","3.61","2.55","4.67","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"451316","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","4","Not Available","4","Not Available","4","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"501328","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","4","Not Available","4","Not Available","4","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"501329","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","4","Not Available","4","Not Available","4","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"501330","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","4","Not Available","4","Not Available","4","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"501331","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","4","Not Available","4","Not Available","4","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"501332","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","4","Not Available","4","Not Available","4","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"501333","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","4","Not Available","4","Not Available","4","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"451319","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","4","Not Available","4","Not Available","4","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"451320","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","4","Not Available","4","Not Available","4","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"451321","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","4","Not Available","4","Not Available","4","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"451322","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","4","Not Available","4","Not Available","4","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"451323","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","4","Not Available","4","Not Available","4","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"450876","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","4","Not Available","4","Not Available","4","61","114.13","69.62","158.64","4097","0.48","0.19","0.77","Not Available","Not Available","Not Available","Not Available","1607","3.53","0.30","6.76","84","0.71","0.00","2.71","4699","0.82","0.00","2.05","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"460043","Not Available","5","Number of Cases Too Small","j","Number of Cases Too Small","j","Number of Cases Too Small","j","Not Available","5","Number of Cases Too Small","j","No Different than U.S. National Rate",,"Not Available","4","Not Available","4","Not Available","4","Not Available","Not Available","Not Available","Not Available","13","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","8","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","13","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"460044","Number of Cases Too Small","j","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","4","Not Available","4","Not Available","4","14","Not Available","Not Available","Not Available","1585","0.30","0.00","0.71","Not Available","Not Available","Not Available","Not Available","501","3.32","0.00","7.12","90","0.72","0.00","2.74","1617","2.41","0.70","4.12","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"460047","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","4","Not Available","4","Not Available","4","167","122.71","88.76","156.66","8437","0.38","0.09","0.67","Not Available","Not Available","Not Available","Not Available","3884","4.20","2.30","6.10","500","0.86","0.00","2.29","8563","2.48","1.66","3.30","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"460049","Number of Cases Too Small","j","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","4","Not Available","4","Not Available","4","20","Not Available","Not Available","Not Available","826","0.33","0.00","0.76","Not Available","Not Available","Not Available","Not Available","811","2.66","0.00","6.05","Not Available","Not Available","Not Available","Not Available","743","1.74","0.00","3.95","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"460051","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","4","Not Available","4","Not Available","4","67","108.95","64.60","153.30","3211","0.32","0.00","0.67","Not Available","Not Available","Not Available","Not Available","813","4.58","1.19","7.97","94","0.71","0.00","2.71","3299","3.51","1.92","5.10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"460052","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","4","Not Available","4","Not Available","4","30","130.36","82.34","178.38","1357","0.27","0.00","0.66","Not Available","Not Available","Not Available","Not Available","704","3.95","0.23","7.67","50","0.79","0.00","2.91","1411","1.38","0.00","3.12","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"500084","Number of Cases Too Small","j","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","4","Not Available","4","Not Available","4","3","Not Available","Not Available","Not Available","829","0.32","0.00","0.75","Not Available","Not Available","Not Available","Not Available","174","3.07","0.00","7.26","32","0.82","0.00","2.98","852","1.49","0.00","3.53","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"500088","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Better than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","4","Not Available","4","Not Available","4","97","110.98","74.35","147.61","10231","0.28","0.01","0.55","Not Available","Not Available","Not Available","Not Available","3248","5.19","3.07","7.31","285","0.47","0.00","2.10","10385","2.93","1.93","3.93","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"461309","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","4","Not Available","4","Not Available","4","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"461310","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","4","Not Available","4","Not Available","4","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"450877","Number of Cases Too Small","j","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","4","Not Available","4","Not Available","4","21","Not Available","Not Available","Not Available","1770","0.35","0.00","0.74","Not Available","Not Available","Not Available","Not Available","450","3.97","0.00","8.13","35","0.86","0.00","3.06","1887","2.21","0.47","3.95","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"463301","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","4","Not Available","4","Not Available","4","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"470001","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Number of Cases Too Small","j","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","4","Not Available","4","Not Available","4","28","98.82","50.51","147.13","2634","0.25","0.00","0.62","Not Available","Not Available","Not Available","Not Available","458","2.97","0.00","6.54","81","0.74","0.00","2.78","2777","1.04","0.00","2.75","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"451330","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","4","Not Available","4","Not Available","4","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"460054","Number of Cases Too Small","j","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Number of Cases Too Small","j","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","4","Not Available","4","Not Available","4","6","Not Available","Not Available","Not Available","549","0.33","0.00","0.76","Not Available","Not Available","Not Available","Not Available","413","5.10","0.85","9.35","13","Not Available","Not Available","Not Available","505","2.08","0.00","4.24","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"460057","Number of Cases Too Small","j","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Number of Cases Too Small","j","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","4","Not Available","4","Not Available","4","10","Not Available","Not Available","Not Available","314","0.34","0.00","0.77","Not Available","Not Available","Not Available","Not Available","205","5.70","1.21","10.19","3","Not Available","Not Available","Not Available","322","1.92","0.00","4.25","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"460058","Not Available","5","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Number of Cases Too Small","j","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","4","Not Available","4","Not Available","4","Not Available","Not Available","Not Available","Not Available","373","0.34","0.00","0.77","Not Available","Not Available","Not Available","Not Available","83","4.15","0.00","9.01","14","Not Available","Not Available","Not Available","386","2.24","0.01","4.47","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
