"prvdr_id","msr_cd","scr","footnote","Sample"
"010001","ED_1b","252","2","158"
"010001","ED_2b","64","2","158"
"010005","ED_1b","240","","350"
"010005","ED_2b","65","","305"
"010006","ED_1b","232","","102"
"010006","ED_2b","48","","76"
"010007","ED_1b","192","2","94"
"010007","ED_2b","50","2","91"
"010008","ED_1b","199","2","76"
"010008","ED_2b","58","2","76"
"010011","ED_1b","238","2","100"
"010011","ED_2b","72","2","94"
"010012","ED_1b","210","2","141"
"010012","ED_2b","80","2","140"
"010016","ED_1b","253","","183"
"010016","ED_2b","75","","112"
"010018","ED_1b","Too few cases","1","Too few cases"
"010018","ED_2b","Too few cases","1","Too few cases"
"010019","ED_1b","236","2","128"
"010019","ED_2b","74","2","126"
"010021","ED_1b","168","2","101"
"010021","ED_2b","54","2","100"
"010022","ED_1b","229","2","121"
"010022","ED_2b","77","2","121"
"010023","ED_1b","515","","171"
"010023","ED_2b","336","","154"
"010024","ED_1b","326","2","200"
"010024","ED_2b","161","2","197"
"010025","ED_1b","251","2","75"
"010025","ED_2b","80","2","71"
"010027","ED_1b","185","","27"
"010027","ED_2b","70","","27"
"010029","ED_1b","239","2","456"
"010029","ED_2b","52","2","454"
"010032","ED_1b","210","2","81"
"010032","ED_2b","Not Available","2","0"
"010033","ED_1b","380","2","101"
"010033","ED_2b","325","2","101"
"010034","ED_1b","228","2","174"
"010034","ED_2b","70","2","115"
"010035","ED_1b","235","2","234"
"010035","ED_2b","82","2","234"
"010036","ED_1b","215","2","91"
"010036","ED_2b","65","2","91"
"010038","ED_1b","217","2","163"
"010038","ED_2b","85","2","163"
"010039","ED_1b","370","2","151"
"010039","ED_2b","122","2","149"
"010040","ED_1b","336","2","170"
"010040","ED_2b","123","2","161"
"010043","ED_1b","191","2","130"
"010043","ED_2b","60","2","103"
"010044","ED_1b","157","2","121"
"010044","ED_2b","40","2","98"
"010045","ED_1b","214","","98"
"010045","ED_2b","80","","68"
"010046","ED_1b","319","2","201"
"010046","ED_2b","120","2","201"
"010047","ED_1b","130","2","113"
"010047","ED_2b","45","2","113"
"010049","ED_1b","224","2","160"
"010049","ED_2b","63","2","159"
"010050","ED_1b","230","2","121"
"010050","ED_2b","60","2","114"
"010051","ED_1b","178","2","97"
"010051","ED_2b","1","2","97"
"010052","ED_1b","198","2","140"
"010052","ED_2b","56","2","118"
"010054","ED_1b","243","2","99"
"010054","ED_2b","74","2","98"
"010055","ED_1b","267","2","140"
"010055","ED_2b","110","2","138"
"010056","ED_1b","285","2","97"
"010056","ED_2b","95","2","42"
"010058","ED_1b","150","1","24"
"010058","ED_2b","50","1","15"
"010059","ED_1b","224","","86"
"010059","ED_2b","49","","79"
"010061","ED_1b","320","2","67"
"010061","ED_2b","104","2","58"
"010062","ED_1b","160","2","102"
"010062","ED_2b","55","2","83"
"010065","ED_1b","255","","102"
"010065","ED_2b","99","","102"
"010066","ED_1b","135","","34"
"010066","ED_2b","0","","34"
"010069","ED_1b","186","2","172"
"010069","ED_2b","48","2","172"
"010073","ED_1b","202","1","22"
"010073","ED_2b","60","1","19"
"010078","ED_1b","188","2","144"
"010078","ED_2b","56","2","144"
"010079","ED_1b","290","","145"
"010079","ED_2b","72","","135"
"010083","ED_1b","333","2","199"
"010083","ED_2b","110","2","199"
"010085","ED_1b","272","2","121"
"010085","ED_2b","65","2","94"
"010086","ED_1b","228","2","72"
"010086","ED_2b","35","2","61"
"010087","ED_1b","506","2","229"
"010087","ED_2b","180","2","229"
"010089","ED_1b","275","","158"
"010089","ED_2b","110","","155"
"010090","ED_1b","280","2","109"
"010090","ED_2b","100","2","87"
"010091","ED_1b","186","2","84"
"010091","ED_2b","58","1","24"
"010092","ED_1b","255","","154"
"010092","ED_2b","80","","130"
"010095","ED_1b","197","2","70"
"010095","ED_2b","30","2","70"
"010097","ED_1b","186","","140"
"010097","ED_2b","45","","115"
"010099","ED_1b","175","","90"
"010099","ED_2b","55","","85"
"010100","ED_1b","343","","147"
"010100","ED_2b","131","","147"
"010101","ED_1b","233","","117"
"010101","ED_2b","66","","114"
"010102","ED_1b","138","","33"
"010102","ED_2b","Not Available","","0"
"010103","ED_1b","271","","188"
"010103","ED_2b","111","","170"
"010104","ED_1b","189","2","119"
"010104","ED_2b","69","2","119"
"010108","ED_1b","340","","131"
"010108","ED_2b","159","","130"
"010109","ED_1b","198","2","48"
"010109","ED_2b","64","2","42"
"010110","ED_1b","Not Available","5","Not Available"
"010110","ED_2b","Not Available","5","Not Available"
"010112","ED_1b","188","2","159"
"010112","ED_2b","33","2","159"
"010113","ED_1b","337","","199"
"010113","ED_2b","126","","197"
"010114","ED_1b","196","","213"
"010114","ED_2b","40","","211"
"010118","ED_1b","270","2","163"
"010118","ED_2b","78","2","162"
"010120","ED_1b","223","","57"
"010120","ED_2b","55","","57"
"010125","ED_1b","208","2","70"
"010125","ED_2b","84","2","70"
"010126","ED_1b","226","","94"
"010126","ED_2b","68","","91"
"010128","ED_1b","176","","92"
"010128","ED_2b","42","","71"
"010129","ED_1b","234","","88"
"010129","ED_2b","71","","86"
"010130","ED_1b","302","2","82"
"010130","ED_2b","70","2","82"
"010131","ED_1b","252","2","140"
"010131","ED_2b","64","2","140"
"010137","ED_1b","448","2","64"
"010137","ED_2b","132","2","60"
"010138","ED_1b","152","2","40"
"010138","ED_2b","2","2","45"
"010139","ED_1b","271","2","77"
"010139","ED_2b","118","2","77"
"010144","ED_1b","206","","149"
"010144","ED_2b","75","","147"
"010146","ED_1b","260","2","59"
"010146","ED_2b","80","2","52"
"010148","ED_1b","192","2","131"
"010148","ED_2b","60","2","125"
"010149","ED_1b","388","2","72"
"010149","ED_2b","158","2","48"
"010150","ED_1b","247","2","97"
"010150","ED_2b","74","2","96"
"010152","ED_1b","380","","112"
"010152","ED_2b","200","","47"
"010157","ED_1b","250","","56"
"010157","ED_2b","60","","51"
"010158","ED_1b","222","2","72"
"010158","ED_2b","60","2","72"
"010164","ED_1b","165","","153"
"010164","ED_2b","54","","194"
"010168","ED_1b","236","2","50"
"010168","ED_2b","84","2","48"
"010169","ED_1b","231","","68"
"010169","ED_2b","80","","66"
"011300","ED_1b","220","","43"
"011300","ED_2b","60","","43"
"011302","ED_1b","Not Available","5","Not Available"
"011302","ED_2b","Not Available","5","Not Available"
"013301","ED_1b","Not Available","5","Not Available"
"013301","ED_2b","Not Available","5","Not Available"
"020001","ED_1b","384","2","128"
"020001","ED_2b","156","2","127"
"020006","ED_1b","226","2","136"
"020006","ED_2b","88","2","124"
"020008","ED_1b","258","","57"
"020008","ED_2b","93","","44"
"020012","ED_1b","255","2","74"
"020012","ED_2b","100","2","38"
"020017","ED_1b","234","2","101"
"020017","ED_2b","84","2","98"
"020018","ED_1b","354","2","102"
"020018","ED_2b","144","2","42"
"020024","ED_1b","254","","61"
"020024","ED_2b","88","","61"
"020026","ED_1b","350","","69"
"020026","ED_2b","74","","53"
"020027","ED_1b","155","","51"
"020027","ED_2b","20","1","21"
"021301","ED_1b","Not Available","5","Not Available"
"021301","ED_2b","Not Available","5","Not Available"
"021302","ED_1b","Not Available","5","Not Available"
"021302","ED_2b","Not Available","5","Not Available"
"021303","ED_1b","Not Available","5","Not Available"
"021303","ED_2b","Not Available","5","Not Available"
"021304","ED_1b","Not Available","5","Not Available"
"021304","ED_2b","Not Available","5","Not Available"
"021305","ED_1b","Not Available","5","Not Available"
"021305","ED_2b","Not Available","5","Not Available"
"021306","ED_1b","Not Available","5","Not Available"
"021306","ED_2b","Not Available","5","Not Available"
"021307","ED_1b","Not Available","5","Not Available"
"021307","ED_2b","Not Available","5","Not Available"
"021308","ED_1b","Not Available","5","Not Available"
"021308","ED_2b","Not Available","5","Not Available"
"021309","ED_1b","Not Available","5","Not Available"
"021309","ED_2b","Not Available","5","Not Available"
"021311","ED_1b","280","","82"
"021311","ED_2b","190","","79"
"021313","ED_1b","Too few cases","1","Too few cases"
"021313","ED_2b","Too few cases","1","Too few cases"
"030001","ED_1b","292","","199"
"030001","ED_2b","107","","195"
"030002","ED_1b","304","2","96"
"030002","ED_2b","85","2","90"
"030006","ED_1b","322","","113"
"030006","ED_2b","143","","111"
"030007","ED_1b","289","","157"
"030007","ED_2b","109","","111"
"030010","ED_1b","352","","202"
"030010","ED_2b","144","","190"
"030011","ED_1b","364","","153"
"030011","ED_2b","156","","150"
"030012","ED_1b","248","","176"
"030012","ED_2b","70","","163"
"030013","ED_1b","442","","207"
"030013","ED_2b","136","","206"
"030014","ED_1b","270","","176"
"030014","ED_2b","75","","136"
"030016","ED_1b","314","","226"
"030016","ED_2b","114","","205"
"030022","ED_1b","349","","151"
"030022","ED_2b","137","","139"
"030023","ED_1b","298","","144"
"030023","ED_2b","131","","129"
"030024","ED_1b","286","","101"
"030024","ED_2b","110","","100"
"030030","ED_1b","262","","118"
"030030","ED_2b","84","","108"
"030033","ED_1b","236","2","109"
"030033","ED_2b","66","2","108"
"030036","ED_1b","303","","227"
"030036","ED_2b","129","","226"
"030037","ED_1b","354","2","194"
"030037","ED_2b","132","2","192"
"030038","ED_1b","252","","234"
"030038","ED_2b","110","","202"
"030043","ED_1b","363","","161"
"030043","ED_2b","169","","161"
"030055","ED_1b","272","","246"
"030055","ED_2b","98","","194"
"030061","ED_1b","284","2","227"
"030061","ED_2b","93","2","219"
"030062","ED_1b","247","2","80"
"030062","ED_2b","80","2","47"
"030064","ED_1b","478","2","99"
"030064","ED_2b","97","2","83"
"030065","ED_1b","322","2","158"
"030065","ED_2b","109","2","153"
"030067","ED_1b","235","2","97"
"030067","ED_2b","70","2","89"
"030068","ED_1b","211","","76"
"030068","ED_2b","51","","65"
"030069","ED_1b","333","2","199"
"030069","ED_2b","146","2","199"
"030071","ED_1b","335","1","24"
"030071","ED_2b","78","1","24"
"030073","ED_1b","235","","66"
"030073","ED_2b","40","","49"
"030074","ED_1b","Not Available","5","Not Available"
"030074","ED_2b","Not Available","5","Not Available"
"030077","ED_1b","Not Available","5","Not Available"
"030077","ED_2b","Not Available","5","Not Available"
"030078","ED_1b","453","2","127"
"030078","ED_2b","119","2","115"
"030083","ED_1b","217","","193"
"030083","ED_2b","78","","192"
"030084","ED_1b","276","","81"
"030084","ED_2b","72","","68"
"030085","ED_1b","306","2","138"
"030085","ED_2b","90","2","136"
"030087","ED_1b","231","","152"
"030087","ED_2b","88","","120"
"030088","ED_1b","276","2","195"
"030088","ED_2b","58","2","188"
"030089","ED_1b","313","2","155"
"030089","ED_2b","99","2","154"
"030092","ED_1b","324","","178"
"030092","ED_2b","76","","145"
"030093","ED_1b","307","2","187"
"030093","ED_2b","86","2","182"
"030094","ED_1b","256","","118"
"030094","ED_2b","74","","112"
"030100","ED_1b","178","2","96"
"030100","ED_2b","44","2","91"
"030101","ED_1b","276","2","217"
"030101","ED_2b","100","2","217"
"030103","ED_1b","293","","167"
"030103","ED_2b","108","","164"
"030105","ED_1b","Not Available","2","0"
"030105","ED_2b","Not Available","2","0"
"030107","ED_1b","Not Available","","0"
"030107","ED_2b","Not Available","","0"
"030108","ED_1b","Not Available","2","0"
"030108","ED_2b","Not Available","2","0"
"030110","ED_1b","220","","213"
"030110","ED_2b","70","","198"
"030111","ED_1b","579","","225"
"030111","ED_2b","327","","224"
"030112","ED_1b","Not Available","","0"
"030112","ED_2b","Not Available","","0"
"030113","ED_1b","Not Available","5","Not Available"
"030113","ED_2b","Not Available","5","Not Available"
"030114","ED_1b","284","2","203"
"030114","ED_2b","94","2","202"
"030115","ED_1b","284","2","154"
"030115","ED_2b","99","2","113"
"030117","ED_1b","286","2","102"
"030117","ED_2b","101","2","102"
"030118","ED_1b","240","","102"
"030118","ED_2b","61","","97"
"030119","ED_1b","293","","173"
"030119","ED_2b","143","","173"
"030120","ED_1b","241","2","145"
"030120","ED_2b","71","2","143"
"030121","ED_1b","306","2","248"
"030121","ED_2b","155","2","244"
"030122","ED_1b","274","2","131"
"030122","ED_2b","51","2","130"
"030123","ED_1b","295","","147"
"030123","ED_2b","126","","104"
"030126","ED_1b","270","2","141"
"030126","ED_2b","90","2","139"
"030130","ED_1b","206","2","47"
"030130","ED_2b","60","2","30"
"030131","ED_1b","Not Available","","0"
"030131","ED_2b","Not Available","","0"
"030132","ED_1b","Not Available","5","Not Available"
"030132","ED_2b","Not Available","5","Not Available"
"031300","ED_1b","Not Available","5","Not Available"
"031300","ED_2b","Not Available","5","Not Available"
"031301","ED_1b","Not Available","5","Not Available"
"031301","ED_2b","Not Available","5","Not Available"
"031302","ED_1b","Not Available","5","Not Available"
"031302","ED_2b","Not Available","5","Not Available"
"031303","ED_1b","Not Available","5","Not Available"
"031303","ED_2b","Not Available","5","Not Available"
"031304","ED_1b","Not Available","5","Not Available"
"031304","ED_2b","Not Available","5","Not Available"
"031305","ED_1b","Not Available","5","Not Available"
"031305","ED_2b","Not Available","5","Not Available"
"031309","ED_1b","Not Available","5","Not Available"
"031309","ED_2b","Not Available","5","Not Available"
"031311","ED_1b","Not Available","5","Not Available"
"031311","ED_2b","Not Available","5","Not Available"
"031312","ED_1b","Not Available","5","Not Available"
"031312","ED_2b","Not Available","5","Not Available"
"031313","ED_1b","307","","56"
"031313","ED_2b","Not Available","","0"
"031314","ED_1b","Not Available","5","Not Available"
"031314","ED_2b","Not Available","5","Not Available"
"031315","ED_1b","Not Available","5","Not Available"
"031315","ED_2b","Not Available","5","Not Available"
"033302","ED_1b","Not Available","5","Not Available"
"033302","ED_2b","Not Available","5","Not Available"
"040001","ED_1b","197","2","96"
"040001","ED_2b","57","2","95"
"040002","ED_1b","220","2","68"
"040002","ED_2b","55","2","51"
"040004","ED_1b","297","2","123"
"040004","ED_2b","120","2","120"
"040007","ED_1b","326","2","110"
"040007","ED_2b","121","2","110"
"040010","ED_1b","230","2","134"
"040010","ED_2b","99","2","119"
"040011","ED_1b","141","2","73"
"040011","ED_2b","65","2","65"
"040014","ED_1b","277","2","155"
"040014","ED_2b","117","2","155"
"040015","ED_1b","207","2","107"
"040015","ED_2b","45","2","106"
"040016","ED_1b","284","2","82"
"040016","ED_2b","56","2","78"
"040017","ED_1b","250","2","93"
"040017","ED_2b","92","2","89"
"040018","ED_1b","168","2","128"
"040018","ED_2b","40","2","128"
"040019","ED_1b","163","2","55"
"040019","ED_2b","44","2","51"
"040020","ED_1b","294","2","29"
"040020","ED_2b","95","2","29"
"040022","ED_1b","245","2","161"
"040022","ED_2b","108","2","141"
"040026","ED_1b","239","2","165"
"040026","ED_2b","100","2","155"
"040027","ED_1b","202","2","169"
"040027","ED_2b","58","2","147"
"040029","ED_1b","245","2","76"
"040029","ED_2b","122","2","28"
"040036","ED_1b","255","2","78"
"040036","ED_2b","58","2","71"
"040039","ED_1b","200","2","138"
"040039","ED_2b","73","2","135"
"040041","ED_1b","218","2","141"
"040041","ED_2b","90","2","139"
"040042","ED_1b","231","2","108"
"040042","ED_2b","60","2","108"
"040047","ED_1b","177","2","95"
"040047","ED_2b","70","2","69"
"040050","ED_1b","246","2","90"
"040050","ED_2b","90","2","89"
"040051","ED_1b","230","2","95"
"040051","ED_2b","65","2","91"
"040055","ED_1b","327","2","184"
"040055","ED_2b","142","2","184"
"040062","ED_1b","324","2","142"
"040062","ED_2b","97","2","131"
"040067","ED_1b","240","2","99"
"040067","ED_2b","52","2","83"
"040069","ED_1b","200","2","63"
"040069","ED_2b","65","2","61"
"040071","ED_1b","227","2","199"
"040071","ED_2b","62","2","98"
"040072","ED_1b","169","2","92"
"040072","ED_2b","60","2","89"
"040074","ED_1b","260","2","223"
"040074","ED_2b","62","2","188"
"040076","ED_1b","128","2","119"
"040076","ED_2b","39","2","58"
"040078","ED_1b","230","2","139"
"040078","ED_2b","74","2","136"
"040080","ED_1b","169","2","90"
"040080","ED_2b","44","2","90"
"040084","ED_1b","204","2","138"
"040084","ED_2b","60","2","98"
"040085","ED_1b","172","2","90"
"040085","ED_2b","65","2","90"
"040088","ED_1b","201","2","144"
"040088","ED_2b","68","2","128"
"040091","ED_1b","190","2","106"
"040091","ED_2b","30","2","96"
"040114","ED_1b","266","2","46"
"040114","ED_2b","86","2","45"
"040118","ED_1b","265","2","147"
"040118","ED_2b","89","2","141"
"040119","ED_1b","222","2","127"
"040119","ED_2b","62","2","114"
"040132","ED_1b","Not Available","","0"
"040132","ED_2b","Not Available","","0"
"040134","ED_1b","188","","62"
"040134","ED_2b","100","","62"
"040137","ED_1b","284","","113"
"040137","ED_2b","90","","108"
"040147","ED_1b","Too few cases","1","Too few cases"
"040147","ED_2b","Too few cases","1","Too few cases"
"040152","ED_1b","Not Available","5","Not Available"
"040152","ED_2b","Not Available","5","Not Available"
"041300","ED_1b","Not Available","5","Not Available"
"041300","ED_2b","Not Available","5","Not Available"
"041302","ED_1b","Not Available","5","Not Available"
"041302","ED_2b","Not Available","5","Not Available"
"041303","ED_1b","Not Available","5","Not Available"
"041303","ED_2b","Not Available","5","Not Available"
"041304","ED_1b","Not Available","5","Not Available"
"041304","ED_2b","Not Available","5","Not Available"
"041305","ED_1b","Not Available","5","Not Available"
"041305","ED_2b","Not Available","5","Not Available"
"041306","ED_1b","Not Available","5","Not Available"
"041306","ED_2b","Not Available","5","Not Available"
"041307","ED_1b","Not Available","5","Not Available"
"041307","ED_2b","Not Available","5","Not Available"
"041308","ED_1b","Not Available","5","Not Available"
"041308","ED_2b","Not Available","5","Not Available"
"041309","ED_1b","Not Available","5","Not Available"
"041309","ED_2b","Not Available","5","Not Available"
"041310","ED_1b","188","","83"
"041310","ED_2b","67","","83"
"041311","ED_1b","Not Available","5","Not Available"
"041311","ED_2b","Not Available","5","Not Available"
"041312","ED_1b","195","2","127"
"041312","ED_2b","40","2","112"
"041313","ED_1b","243","2","122"
"041313","ED_2b","20","2","122"
"041314","ED_1b","Not Available","5","Not Available"
"041314","ED_2b","Not Available","5","Not Available"
"041316","ED_1b","Not Available","5","Not Available"
"041316","ED_2b","Not Available","5","Not Available"
"041317","ED_1b","Not Available","5","Not Available"
"041317","ED_2b","Not Available","5","Not Available"
"041318","ED_1b","152","2","51"
"041318","ED_2b","0","2","51"
"041319","ED_1b","Not Available","5","Not Available"
"041319","ED_2b","Not Available","5","Not Available"
"041320","ED_1b","Not Available","5","Not Available"
"041320","ED_2b","Not Available","5","Not Available"
"041321","ED_1b","149","2","49"
"041321","ED_2b","40","2","41"
"041322","ED_1b","Not Available","5","Not Available"
"041322","ED_2b","Not Available","5","Not Available"
"041323","ED_1b","Not Available","5","Not Available"
"041323","ED_2b","Not Available","5","Not Available"
"041324","ED_1b","Not Available","5","Not Available"
"041324","ED_2b","Not Available","5","Not Available"
"041326","ED_1b","Not Available","5","Not Available"
"041326","ED_2b","Not Available","5","Not Available"
"041327","ED_1b","198","1","18"
"041327","ED_2b","60","1","18"
"041328","ED_1b","Not Available","5","Not Available"
"041328","ED_2b","Not Available","5","Not Available"
"041329","ED_1b","Not Available","5","Not Available"
"041329","ED_2b","Not Available","5","Not Available"
"041330","ED_1b","Not Available","5","Not Available"
"041330","ED_2b","Not Available","5","Not Available"
"041331","ED_1b","Not Available","5","Not Available"
"041331","ED_2b","Not Available","5","Not Available"
"043300","ED_1b","Not Available","5","Not Available"
"043300","ED_2b","Not Available","5","Not Available"
"050002","ED_1b","341","","153"
"050002","ED_2b","168","","146"
"050006","ED_1b","349","2","164"
"050006","ED_2b","171","2","149"
"050007","ED_1b","263","","205"
"050007","ED_2b","110","","197"
"050008","ED_1b","211","","79"
"050008","ED_2b","87","","77"
"050009","ED_1b","274","2","201"
"050009","ED_2b","122","2","191"
"050013","ED_1b","208","2","49"
"050013","ED_2b","114","2","33"
"050014","ED_1b","258","","96"
"050014","ED_2b","76","","88"
"050016","ED_1b","231","","120"
"050016","ED_2b","85","","86"
"050017","ED_1b","353","","129"
"050017","ED_2b","68","","127"
"050018","ED_1b","Too few cases","1","Too few cases"
"050018","ED_2b","Too few cases","1","Too few cases"
"050022","ED_1b","273","2","174"
"050022","ED_2b","110","2","174"
